source_id,ra_deg,dec_deg,paralaxe_mas,erro_paralaxe_mas,pmra_mas_ano,pmdec_mas_ano,vel_radial_km_s,G_mag,BP_RP
5853498713190525696,217.392321,-62.676075,768.0665,0.0499,-3781.7410,769.4650,-21.94,8.9847,3.8046
4472832130942575872,269.448503,4.739420,546.9759,0.0401,-801.5510,10362.3942,-110.47,8.1940,2.8337
3864972938605115520,164.103190,7.002727,415.1794,0.0684,-3866.3383,-2699.2150,,11.0384,4.1848
762815470562110464,165.830960,35.948653,392.7529,0.0321,-580.0571,-4776.5887,-85.11,6.5512,2.2156
2947050466531873024,101.286626,-16.720933,374.4896,0.2313,-461.5705,-914.5196,,8.5241,-0.2784
5140693571158946048,24.771674,-17.947683,373.8443,0.5009,3178.6943,584.0613,10.25,10.8178,3.8286
5140693571158739840,24.771554,-17.948300,367.7119,0.7418,3385.3158,544.3864,21.46,10.5075,3.7530
4075141768785646848,282.458789,-23.837097,336.0266,0.0317,639.3679,-193.9579,-11.12,9.1264,2.8340
1926461164913660160,355.480015,44.170376,316.4812,0.0444,112.5275,-1591.6498,-77.29,10.3793,3.5294
5164707970261890560,53.228293,-9.458168,310.5773,0.1355,-974.7581,20.8758,,3.4658,1.1403
6553614253923452800,346.503917,-35.847164,304.1354,0.0200,6765.9951,1330.2853,8.31,6.5220,2.0983
3796072592206250624,176.937688,0.799120,296.3053,0.0302,607.2991,-1223.0284,,9.6010,3.0333
1872046574983497216,316.753663,38.756073,286.0054,0.0289,4105.9764,3155.9416,-64.59,5.4506,1.7153
1872046609345556480,316.748479,38.763862,285.9949,0.0599,4164.2087,3249.6139,-65.97,4.7667,1.4626
2154880616774131840,280.683071,59.638358,283.8401,0.0220,-1311.6791,1792.3246,-1.30,7.8544,2.4611
2154880616774131712,280.683086,59.635145,283.8378,0.0287,-1400.2635,1862.5251,0.88,8.5247,2.6255
385334230892516480,4.613226,44.024787,280.7068,0.0203,2891.5181,411.8320,11.37,7.2186,2.1644
385334196532776576,4.625301,44.028745,280.6947,0.0278,2862.7964,336.4319,10.60,9.6866,2.8360
703790044252850688,127.450092,26.773286,279.2496,0.0637,-1113.6935,-612.1911,,12.1675,4.3976
6412595290592307840,330.872408,-56.797255,274.8431,0.0956,3966.6605,-2536.1920,-40.43,4.3229,1.2974
2452378776434477184,26.009055,-15.933680,273.8097,0.1701,-1721.7278,854.9632,,3.3004,1.0512
4848140361962951552,54.003394,-44.514362,272.1615,0.0316,745.6543,-373.3233,1.49,10.9955,3.6654
6412596012146801152,331.076453,-56.793812,270.6580,0.6896,3981.9767,-2466.8318,,18.0307,5.0820
2358524597030794112,18.133254,-16.996155,269.0573,0.0337,1205.0745,637.5466,,10.4365,3.1971
3139847906307949696,111.854628,5.209383,264.1269,0.0413,571.2323,-3691.4866,17.35,8.5764,2.7578
35227046884571776,43.269642,16.864374,260.9884,0.0934,3429.0828,-3805.5411,,12.2631,4.5285
4810594479418041856,77.959937,-45.043813,254.1986,0.0168,6491.2233,-5708.6142,245.05,8.0636,2.0266
6583272171336048640,319.295018,-38.872456,251.9124,0.0352,-3258.9662,-1145.8624,20.71,5.9841,1.8536
6439125097427143808,281.298044,-63.960567,249.6651,0.1330,2583.1898,588.5041,,14.0053,5.1129
5393446658454453632,162.053888,-39.939626,247.2156,0.0512,-1179.3111,-988.1215,,14.0059,5.1537
4330690742322011520,247.574814,-12.667851,232.1390,0.0268,-94.2096,-1183.9172,-21.80,8.8019,2.7316
2552928187080872832,12.296740,5.376557,231.7800,0.0183,1231.3995,-2711.8825,,12.2992,0.5976
3902874650602495232,188.314493,9.022092,231.1185,0.5119,-1795.6609,217.7886,,11.2351,3.5342
2306965202564744064,1.383284,-37.367744,230.0970,0.0362,5633.4381,-2334.7213,25.13,7.6825,2.1860
76868614540049408,30.058987,13.044071,223.7321,0.0699,1096.4585,-1771.5261,-28.29,10.6811,3.1882
3902874650601954816,188.314677,9.021829,223.4775,0.4665,-1710.4677,203.0978,,11.2402,3.4978
1637645127018395776,264.104053,68.333498,219.7898,0.0210,-320.6747,-1269.8933,-28.90,8.0286,2.5181
5951824121022278144,262.170164,-46.899105,219.6463,0.0262,572.5685,-880.5826,-3.37,8.3364,2.4649
3757613049856225792,162.055184,-11.342803,219.3302,0.0602,579.0187,-1530.0765,1.47,12.8374,4.5809
5332606522595645952,176.456647,-64.843053,215.6753,0.0181,2661.6396,-344.9325,,11.4231,0.2857
2079073928612821760,298.481926,44.412906,214.5745,0.0476,349.3630,-480.3223,3.93,11.9083,3.8225
2603090003484152064,343.324111,-14.266689,214.0380,0.0356,957.7147,-673.6012,-2.09,8.8751,2.8093
5254061535106490112,161.085276,-61.202638,206.9698,0.0448,-346.2076,1611.1000,155.61,11.8594,3.6814
2441630500517079808,1.676350,-7.546475,206.3500,0.0474,-811.5660,-1893.2508,-40.46,11.7738,3.6749
4752399493622045696,43.771986,-47.016728,205.4251,0.1857,1012.4447,-554.0308,,18.5729,4.8733
823773494718931968,152.832929,49.451989,205.3148,0.0224,-1363.2872,-505.7704,-26.48,5.9612,1.7223
778947814402602752,166.342060,43.530949,203.8876,0.0332,-4406.4692,938.5266,68.41,7.9127,2.1042
778947608243864320,166.352090,43.525908,203.8323,0.0500,-4339.8496,960.6961,67.94,12.2573,3.8550
625453654702751872,154.898814,19.869810,201.4064,0.0296,-498.6204,-43.4277,10.67,8.2041,2.5646
6562924609150908416,323.391252,-49.012630,201.3252,0.0237,-45.9168,-816.8750,12.72,7.7399,2.2399
5955305209191546112,264.260887,-44.323382,199.6944,0.0312,-705.9451,-938.0800,-34.90,9.6022,2.9049
3195919254111315712,63.830788,-7.672952,199.6911,0.0512,-2236.1687,-3338.9553,,9.5422,-0.1910
3195919528989223040,63.807953,-7.668078,199.6080,0.1208,-2240.0850,-3421.8086,-42.47,4.1799,1.0412
3195919254111314816,63.829656,-7.670903,199.4516,0.0692,-2247.1829,-3409.8237,-44.06,9.7753,2.9897
1934263333784036736,341.702825,44.331953,197.9573,0.0220,-706.2158,-458.9196,-0.23,9.0052,2.7302
660597997697274752,134.558692,19.762579,196.2619,0.1976,-937.1328,-34.5590,15.26,12.4856,4.0384
4468557611977674496,271.365912,2.494199,195.8563,0.2535,333.2921,-1068.3539,-9.47,5.5392,1.4857
4468557611984384512,271.364454,2.495224,195.5674,0.1964,206.5250,-1107.4919,-5.73,3.9874,1.0037
660597997696173440,134.559190,19.762960,194.1443,0.1228,-767.0605,-100.1765,,11.9663,3.7769
1695191332232990720,226.702636,70.461619,193.9412,0.6277,-1194.1792,1042.1942,,20.1995,3.4400
3316364602541746048,90.015976,2.706374,192.0135,0.0310,309.1462,-40.3684,29.96,9.9013,2.8903
5278042880077383040,124.373518,-61.916130,191.8362,0.4186,-156.4512,1099.3658,,20.0097,3.5113
1129149723913123456,176.939408,78.693297,190.3251,0.0194,748.4183,480.8043,-111.50,9.5513,2.7020
5985290231327158144,235.195177,-51.028101,187.7290,0.0496,1949.4615,-324.7891,85.67,12.7359,4.2262
3187115498866675456,75.486805,-6.948587,186.0466,0.0277,-551.7464,-533.6482,42.29,10.6493,3.0327
3741297293732404352,206.440566,14.885053,183.9962,0.0253,1776.0062,-1455.1557,15.58,7.6106,2.1149
470826482637310848,67.813892,58.969481,181.2730,0.0203,1334.7797,-1947.6382,,12.3362,0.4423
470826482637310080,67.809191,58.967980,181.2438,0.0499,1300.3648,-2046.1055,27.82,9.7026,2.8959
939072613334579328,103.700129,33.266408,179.0629,0.0280,-726.6721,-398.1024,22.30,8.8636,2.5612
6882963066420161664,313.136133,-16.974558,177.9312,0.0365,-309.1150,37.0509,,10.0817,2.9016
2091177593123254016,278.907449,32.994787,175.7930,0.0468,-72.6504,-755.1456,,14.8510,5.1507
3209938366665770752,82.867541,-3.686528,175.3131,0.0204,761.6309,-2092.2087,8.20,7.1083,2.1219
6305165514134625024,224.976653,-18.537756,174.0253,1.9006,8.9359,-9.8677,,20.4354,1.9759
2940856402123426176,92.643579,-21.867823,173.5740,0.0170,-135.6916,-719.1781,4.23,7.3135,2.0743
2261614264931057664,293.097598,69.653451,173.4939,0.0748,597.3842,-1738.2861,26.55,4.4490,0.9943
3340477717172813568,85.547708,12.482360,172.6762,0.0286,1997.3419,-1569.3549,106.06,10.1138,2.8699
6232511606838403968,224.371594,-21.423140,169.8843,0.0653,1031.4719,-1723.6189,26.75,5.3640,1.3236
5918660719983560192,266.633444,-57.325062,169.8042,0.0465,-1116.9095,-1353.9275,-43.79,9.5923,2.5847
6663600360560306560,290.204116,-45.571106,169.2351,0.0588,658.7754,-2896.1495,6.04,10.7529,3.0469
2739689239311660672,357.306604,2.396918,169.2163,0.0281,992.7204,-968.8065,-71.37,8.1529,2.0958
4293318823182081408,289.227652,5.162976,169.0615,0.0239,-579.0805,-1332.8677,35.33,8.0999,2.3785
6002807341299977216,233.046927,-41.280174,168.9965,0.0270,-1176.4470,-1030.9703,21.06,8.2742,2.4276
4293315765165489536,289.237374,5.144373,168.9537,0.0668,-598.7613,-1366.0635,,14.3033,4.9714
425040000962559616,12.285227,57.812728,168.8322,0.1663,1078.6092,-551.1334,,3.3201,0.8869
425040000962497792,12.281185,57.815739,168.7186,0.0216,1144.6934,-469.6676,10.33,6.7620,1.7540
4109030160308317312,258.835117,-26.607898,168.1303,0.1081,-465.8608,-1141.1677,,4.8286,1.0597
4109030160308320128,258.834120,-26.606807,168.0031,0.1343,-498.6002,-1149.1581,0.26,4.8313,1.0583
4109034455276324608,259.053294,-26.551146,167.9617,0.0311,-479.5732,-1124.3317,-0.07,5.8899,1.4148
3136952686035250688,116.165836,3.550484,166.9769,0.0343,-347.7816,-445.7018,25.72,9.6922,2.9970
6697578465310949376,302.802269,-36.108217,166.3272,0.1065,458.8817,-1576.7321,-129.27,5.0330,1.1014
4847957293278177024,50.000344,-43.066553,165.5242,0.0784,3035.0173,726.9645,87.76,4.0639,0.9326
946632924007399936,107.505143,38.525269,165.2147,0.0636,-439.4204,-944.7935,,9.9347,3.1060
6427464123776727168,302.195040,-66.187091,163.9544,0.1222,1211.7606,-1130.2369,,3.3641,1.0193
2572901021957789568,24.241250,9.563070,163.4478,0.4629,1238.2439,-16.1556,,19.4612,3.4663
6673000841376349696,303.477391,-45.164731,162.2171,0.0225,778.3310,-159.9388,-33.52,7.2427,1.9117
1638979384378696704,267.016123,70.881574,160.9952,0.0119,-1266.3872,1108.8007,,13.7782,1.0028
6324325225803432320,218.568432,-12.516924,159.9225,0.0546,-355.1381,593.0402,-1.36,9.8950,2.9233
2824770686019004032,352.971675,19.937314,159.9085,0.0513,552.3494,20.2746,,10.8289,3.1741
2824770686019003904,352.970124,19.936993,159.6634,0.0341,578.0087,-59.7686,-0.21,9.0440,2.6609
6322070093095493504,229.856301,-7.722707,158.7183,0.0301,-1221.2776,-97.2292,-9.75,9.4218,2.5616
1022456139210632064,138.583562,52.684080,157.8879,0.0197,-1545.7875,-569.0528,10.64,6.9760,1.8173
1022456104850892928,138.591312,52.683429,157.8825,0.0211,-1573.0402,-659.9060,11.97,7.0545,1.8464
685103912857072640,135.095643,21.832063,157.2686,0.0535,-514.9422,-592.2534,,13.4131,4.3996
1267906854386665088,225.832142,25.424644,155.7758,0.7557,87.4144,557.7801,,20.2746,3.2823
4860376345833699840,54.898570,-35.427594,155.5982,0.0522,309.0010,269.0584,,15.4396,5.0573
3022956969731332096,88.792096,-4.178927,155.2373,0.0175,535.2486,-2317.0113,,14.2367,1.1337
3907283967108054528,184.741747,11.126952,154.6999,0.0445,-1269.7707,203.4441,,11.9261,3.5333
1428427236986209024,246.355888,54.303339,154.3503,0.0161,432.2302,-171.6519,-13.37,9.1398,2.2955
4339417394313320192,253.893246,-8.398523,153.9659,0.0570,-813.0375,-870.6094,,13.8133,4.7290
4339465360510320128,253.851420,-8.326576,153.8754,0.0474,-817.5803,-898.5950,15.20,10.4445,2.7784
5243594081269535872,145.692160,-68.879985,153.7593,0.0249,-75.8282,1128.8488,30.43,11.1333,3.1541
2009481748875806976,348.337734,57.169666,152.8640,0.0494,2074.4135,294.4520,-18.68,5.2319,1.2163
6153483658836320384,189.700805,-38.387409,150.0781,0.0322,-665.1636,-1312.6385,28.03,11.2262,3.0590
3988987164339438208,165.015679,22.831702,148.1986,0.0253,-426.9577,-282.2984,2.65,8.9770,2.4295
1237090738916392832,222.846643,19.101104,148.1793,0.0546,133.3760,-182.0592,2.31,6.4301,1.5179
1237090738916392704,222.848051,19.100270,148.0695,0.1317,127.4679,-40.5686,1.59,4.4805,0.9251
3098328182579892096,122.994683,8.750402,147.7218,0.0950,1069.8117,-5094.2201,14.11,11.3973,2.9921
1784473016438653056,322.408080,17.644978,147.4958,0.0257,1007.0396,378.4000,,9.1085,2.6545
2019802555283940608,292.171753,23.935005,146.4067,1.2001,-246.9991,240.4297,,20.6377,3.4788
5153091836072107136,45.462425,-16.594533,145.6922,0.0244,-369.9718,-267.9313,-5.74,10.0584,2.5904
2828928008202069376,344.140222,16.552169,145.6234,0.0255,-1034.7334,-284.1309,-27.87,7.7950,2.1508
3864615459886222464,162.712964,6.804490,143.5391,0.0286,-856.2895,-818.5834,-1.24,10.2908,2.8693
3855208897392952192,157.228783,0.837747,142.0951,0.0212,-602.9920,-731.8820,7.98,8.6760,2.2956
2195886971653527168,313.332456,62.150958,142.0543,0.0160,0.2591,-773.0957,-17.79,7.7567,2.0437
1952802469918554368,326.592882,38.217517,141.8946,0.0212,161.4537,-119.7394,-82.91,10.8309,2.8142
6224387727748521344,224.156959,-28.167254,141.7891,0.0617,-490.2853,-843.4821,,14.0611,4.7689
4780100658292046592,62.611000,-53.612997,140.6961,0.0214,-825.1794,-2415.5776,-0.51,11.9029,3.2037
2640434056928150400,353.797069,-2.392799,139.3389,0.0441,781.4187,-841.5161,-40.81,12.6237,3.7062
18565464288396416,39.071677,6.878090,138.4371,0.0420,1801.6715,1450.4869,26.10,10.3331,2.8553
19316224572460416,39.028385,6.893339,138.3400,0.3177,1778.5855,1477.3062,25.21,5.4983,1.1986
2595284016771502080,335.780593,-17.610508,138.2280,0.0482,308.7118,-718.3872,-3.31,11.5507,3.3035
5975663354131618304,259.751253,-34.997795,138.0663,0.0283,1131.5171,-215.5689,6.13,9.3862,2.2938
3426333598021539840,91.910273,24.497694,138.0616,0.5185,-472.8708,-318.4644,,19.5203,4.2474
6306068659857135232,226.947946,-16.465125,134.9474,0.2611,-151.7946,-896.0121,,17.9516,4.8325
2552925644460225152,12.099107,5.275539,134.4948,0.0578,755.8935,-1141.7193,-10.37,5.4677,1.1096
4683897617110115200,6.482505,-77.252795,133.7194,0.2720,2218.9845,326.4445,,2.6807,0.9241
1355264565043431040,257.383472,43.680106,131.5996,0.4285,332.0321,-274.5010,-22.00,10.4532,2.8773
6604147121141267712,344.101941,-31.566269,131.5525,0.0275,330.2034,-158.6023,6.79,6.0919,1.3403
4286249341336984576,282.074759,7.690324,131.2790,0.0398,376.0423,248.7192,-34.64,12.2969,3.5128
3738099879558957952,202.504202,10.372390,131.1013,0.0270,1127.3405,-1073.8881,14.12,8.2053,2.0879
2257597439718033536,274.743256,66.190617,130.8531,0.0217,434.8113,-442.7897,5.47,11.9117,3.1289
96331172942614528,25.622586,20.265519,130.8234,0.1532,-300.7369,-673.5389,-33.70,4.9997,1.0225
6575069780231675264,330.626923,-37.081939,130.4186,0.0534,805.6869,-229.7414,-14.17,10.4674,2.7554
411413822074322432,17.094750,54.913204,130.2881,0.4348,3468.2514,-1564.8444,-97.09,4.9480,0.9222
6623351805412369024,342.020338,-24.369627,130.2707,0.0325,331.6087,-183.8049,5.77,11.1292,3.0147
114207651462714880,41.068882,25.521751,130.1956,0.0281,864.5251,-363.1956,30.25,9.4673,2.5002
3828238392559860992,153.072937,-3.746748,129.7544,0.0252,-152.7602,-243.6930,7.37,8.3318,2.2345
4375233191015944192,261.435887,2.106158,129.6459,0.0175,-580.3246,-1184.7371,-23.87,6.9345,1.7076
6135947032490329472,194.776645,-43.607964,129.4288,0.0620,1102.9193,-264.5364,,14.8337,4.9686
2322561156529549440,6.183610,-27.137258,129.3167,0.1256,-92.7389,695.9562,-28.98,13.1426,3.9664
999747822484300800,90.295101,59.593063,129.3014,0.0283,-104.9421,-928.6279,1.78,10.4172,2.7911
4177731838628465408,271.284114,-3.032798,129.2184,0.0256,569.7351,-332.7257,32.30,8.5194,2.1195
3365063724883180288,104.874351,19.344874,128.9866,0.0607,909.1205,-894.5493,-28.63,12.7764,3.7367
2161121135533953536,270.571193,64.260584,128.3057,0.0319,196.3944,-383.7888,,11.7581,3.2589
4468009917744160000,270.111145,1.580764,128.0546,0.5101,183.7336,-384.1082,,19.5494,3.7366
4145870293808914688,271.883965,-15.964617,125.4509,0.0306,-618.4062,-347.0067,-33.22,11.8630,3.2196
5535361753834861312,115.046260,-42.958949,125.3028,0.0215,-483.4585,504.7743,27.51,12.0308,3.3734
3288921720025503360,72.462124,6.961331,124.6198,0.2246,463.9544,11.9370,,3.0879,0.8058
5559035514779971456,104.437330,-44.291396,124.5695,0.0495,-1118.0734,-48.9344,,10.4182,2.6348
5559035514776717312,104.436472,-44.291651,124.3569,0.0399,-1172.1891,-125.3699,,10.3820,2.6398
786834302080370304,177.730164,48.373100,124.3378,0.0549,-1545.0689,-962.7239,-36.13,11.6847,3.1420
6133474952391837824,190.188075,-43.563322,124.1851,0.0295,-782.0900,689.5614,-35.49,10.9835,2.6632
3735000631158990976,191.981389,9.749354,123.7756,0.0329,-1008.2671,-460.0339,19.20,10.1051,2.7543
1954170404122975232,327.072395,40.068518,123.6752,0.3595,772.1756,458.2432,,19.7926,3.1458
2246206567973292160,307.638264,65.450818,123.6547,0.0148,443.2636,283.3537,10.18,9.4353,2.4840
3698534434669937024,183.564726,0.622727,123.6430,0.0449,-951.3357,-284.0494,,11.8287,3.3687
