corpo,orbita_em_torno_de,a_UA,P_anos
Mercúrio,Sol,0.3871,0.240846
Vênus,Sol,0.72333,0.615198
Terra,Sol,1,1.000017
Marte,Sol,1.52368,1.880848
Júpiter,Sol,5.2026,11.8618
Saturno,Sol,9.55491,29.4571
Urano,Sol,19.21845,84.0205
Netuno,Sol,30.11039,164.77
Plutão,Sol,39.48168,247.94
Ceres,Sol,2.7658,4.6017
Io,Júpiter,0.0028195588,0.0048436359
Europa,Júpiter,0.0044860264,0.0097226037
Ganimedes,Júpiter,0.0071551821,0.019588099
Calisto,Júpiter,0.012585072,0.045692038
Mimas,Saturno,0.0012402583,0.0025802108
Encélado,Saturno,0.0015911991,0.0037514524
Tétis,Saturno,0.0019697473,0.0051685202
Dione,Saturno,0.0025228969,0.0074932649
Reia,Saturno,0.0035232453,0.01237019
Titã,Saturno,0.0081676965,0.043656183
Lua,Terra,0.0025695553,0.074802634
