lambda_nm,irradiancia_W_m2_nm
200.05,0.0066456
200.95,0.007078
201.05,0.0076046
201.95,0.0078443
202.05,0.0079864
202.95,0.008176
203.05,0.0084469
203.95,0.0080897
204.05,0.0080521
204.95,0.0098211
205.05,0.010027
205.95,0.0098893
206.05,0.010646
206.95,0.010425
207.05,0.010876
207.95,0.012217
208.05,0.013073
208.95,0.014551
209.05,0.014404
209.95,0.020359
210.05,0.016812
210.95,0.016287
211.05,0.018726
211.95,0.033417
212.05,0.050901
212.95,0.036083
213.05,0.02206
213.95,0.018789
214.05,0.027929
214.95,0.04057
215.05,0.046333
215.95,0.020254
216.05,0.032033
216.95,0.025386
217.05,0.027741
217.95,0.038607
218.05,0.052249
218.95,0.033469
219.05,0.042952
219.95,0.055523
220.05,0.04155
220.95,0.035922
221.05,0.030045
221.95,0.042138
222.05,0.049283
222.95,0.053096
223.05,0.045213
223.95,0.052016
224.05,0.070394
224.95,0.043451
225.05,0.05165
225.95,0.057299
226.05,0.032105
226.95,0.026082
227.05,0.028066
227.95,0.043763
228.05,0.037129
228.95,0.051142
229.05,0.036761
229.95,0.033382
230.05,0.036507
230.95,0.049662
231.05,0.039592
231.95,0.053562
232.05,0.025238
232.95,0.054964
233.05,0.051108
233.95,0.027958
234.05,0.03602
234.95,0.030432
235.05,0.049208
235.95,0.036541
236.05,0.024878
236.95,0.04225
237.05,0.05222
237.95,0.034801
238.05,0.035918
238.95,0.023312
239.05,0.044453
239.95,0.028405
240.05,0.033552
240.95,0.045764
241.05,0.03695
241.95,0.061533
242.05,0.062869
242.95,0.055055
243.05,0.065627
243.95,0.053708
244.05,0.048888
244.95,0.050318
245.05,0.04706
245.95,0.044201
246.05,0.048306
246.95,0.053006
247.05,0.050613
247.95,0.045019
248.05,0.034894
248.95,0.034319
249.05,0.030216
249.95,0.064343
250.05,0.077712
250.95,0.062188
251.05,0.068104
251.95,0.035215
252.05,0.040417
252.95,0.026388
253.05,0.035377
253.95,0.043128
254.05,0.061124
254.95,0.044777
255.05,0.043549
255.95,0.099496
256.05,0.087437
256.95,0.11565
257.05,0.13583
257.95,0.1333
258.05,0.15682
258.95,0.14903
259.05,0.19088
259.95,0.033108
260.05,0.036978
260.95,0.089076
261.05,0.10071
261.95,0.094863
262.05,0.12998
262.95,0.074848
263.05,0.086081
263.95,0.28575
264.05,0.22025
264.95,0.149
265.05,0.19999
265.95,0.22863
266.05,0.28378
266.95,0.2311
267.05,0.17967
267.95,0.17032
268.05,0.21802
268.95,0.2243
269.05,0.1665
269.95,0.18761
270.05,0.32965
270.95,0.20187
271.05,0.26817
271.95,0.087761
272.05,0.11707
272.95,0.27405
273.05,0.35356
273.95,0.16107
274.05,0.088352
274.95,0.098843
275.05,0.067902
275.95,0.34253
276.05,0.23799
276.95,0.18968
277.05,0.23163
277.95,0.16321
278.05,0.14441
278.95,0.12862
279.05,0.10844
279.95,0.066152
280.05,0.077165
280.95,0.13972
281.05,0.16323
281.95,0.26138
282.05,0.27489
282.95,0.30211
283.05,0.36454
283.95,0.33594
284.05,0.31908
284.95,0.13088
285.05,0.10615
285.95,0.22285
286.05,0.32854
286.95,0.28216
287.05,0.30091
287.95,0.27226
288.05,0.23554
288.95,0.41612
289.05,0.36484
289.95,0.52007
290.05,0.60851
290.95,0.53403
291.05,0.5613
291.95,0.52064
292.05,0.58067
292.95,0.29326
293.05,0.5876
293.95,0.46502
294.05,0.52683
294.95,0.32671
295.05,0.43173
295.95,0.71152
296.05,0.53951
296.95,0.5001
297.05,0.29076
297.95,0.62431
298.05,0.5145
298.95,0.52892
299.05,0.66076
299.95,0.49393
300.05,0.26839
300.95,0.35646
301.05,0.39979
301.95,0.35064
302.05,0.29621
302.95,0.72036
303.05,0.59162
303.95,0.62789
304.05,0.69723
304.95,0.58981
305.05,0.80562
305.95,0.33207
306.05,0.43326
306.95,0.63591
307.05,0.76092
307.95,0.56677
308.05,0.79506
308.95,0.65756
309.05,0.57931
309.95,0.60686
310.05,0.51376
310.95,0.67152
311.05,0.67957
311.95,0.66068
312.05,0.65364
312.95,0.64648
313.05,0.65166
313.95,0.66327
314.05,0.66254
314.95,0.63001
315.05,0.62584
315.95,0.58806
316.05,0.59051
316.95,0.67595
317.05,0.68516
317.95,0.6871
318.05,0.6787
318.95,0.65464
319.05,0.65795
319.95,0.7266
320.05,0.73097
320.95,0.72486
321.05,0.71783
321.95,0.67408
322.05,0.67103
322.95,0.64654
323.05,0.64645
323.95,0.6835
324.05,0.69164
324.95,0.78374
325.05,0.79437
325.95,0.90216
326.05,0.91081
326.95,0.94153
327.05,0.94016
327.95,0.91224
328.05,0.9117
328.95,0.95313
329.05,0.96185
329.95,1.01
330.05,1.0095
330.95,0.96711
331.05,0.96177
331.95,0.93591
332.05,0.93426
332.95,0.91607
333.05,0.91512
333.95,0.9147
334.05,0.91842
334.95,0.92584
335.05,0.92394
335.95,0.86647
336.05,0.85719
336.95,0.82325
337.05,0.82262
337.95,0.87007
338.05,0.87527
338.95,0.93414
339.05,0.93962
339.95,0.975
340.05,0.97638
340.95,0.9637
341.05,0.96187
341.95,0.96208
342.05,0.96446
342.95,0.95418
343.05,0.94919
343.95,0.88971
344.05,0.88295
344.95,0.87303
345.05,0.87669
345.95,0.91323
346.05,0.91583
346.95,0.92469
347.05,0.92381
347.95,0.90527
348.05,0.90479
348.95,0.91355
349.05,0.91683
349.95,0.96382
350.05,0.97049
350.95,0.99664
351.05,0.99446
351.95,0.97864
352.05,0.97668
352.95,0.98848
353.05,0.99595
353.95,1.0595
354.05,1.0649
354.95,1.0846
355.05,1.0802
355.95,1.0063
356.05,0.99684
356.95,0.88144
357.05,0.86998
357.95,0.8185
358.05,0.81803
358.95,0.86866
359.05,0.87898
359.95,0.95537
360.05,0.95904
360.95,0.96482
361.05,0.96474
361.95,0.9569
362.05,0.95884
362.95,0.99733
363.05,0.99961
363.95,1.0347
364.05,1.0408
364.95,1.0924
365.05,1.0994
365.95,1.1781
366.05,1.1832
366.95,1.1991
367.05,1.1995
367.95,1.1887
368.05,1.1875
368.95,1.1824
369.05,1.1842
369.95,1.2021
370.05,1.2005
370.95,1.1786
371.05,1.1756
371.95,1.115
372.05,1.1061
372.95,1.0296
373.05,1.022
373.95,0.97362
374.05,0.97191
374.95,0.98766
375.05,0.99278
375.95,1.0757
376.05,1.0869
376.95,1.1791
377.05,1.1887
377.95,1.2399
378.05,1.2414
378.95,1.2323
379.05,1.2286
379.95,1.1806
380.05,1.1741
380.95,1.0991
381.05,1.0876
381.95,0.96576
382.05,0.95351
382.95,0.87013
383.05,0.8643
383.95,0.85732
384.05,0.86303
384.95,0.92994
385.05,0.93677
385.95,0.97872
386.05,0.98174
386.95,0.99842
387.05,0.99961
387.95,1.0205
388.05,1.0244
388.95,1.0845
389.05,1.0936
389.95,1.1701
390.05,1.1762
390.95,1.1782
391.05,1.1727
391.95,1.0861
392.05,1.0734
392.95,0.9724
393.05,0.96514
393.95,0.94766
394.05,0.94936
394.95,0.97901
395.05,0.98397
395.95,1.0307
396.05,1.0357
396.95,1.0922
397.05,1.1019
397.95,1.2421
398.05,1.2606
398.95,1.4326
399.05,1.4515
399.95,1.6051
400.05,1.6184
400.95,1.6935
401.05,1.6989
401.95,1.7247
402.05,1.7257
402.95,1.7242
403.05,1.7228
403.95,1.7034
404.05,1.701
404.95,1.6738
405.05,1.6713
405.95,1.6578
406.05,1.6579
406.95,1.6651
407.05,1.6657
407.95,1.6734
408.05,1.6751
408.95,1.6936
409.05,1.6954
409.95,1.7058
410.05,1.7066
410.95,1.7262
411.05,1.7299
411.95,1.7541
412.05,1.7555
412.95,1.7676
413.05,1.7691
413.95,1.7832
414.05,1.7835
414.95,1.7769
415.05,1.7759
415.95,1.7687
416.05,1.768
416.95,1.7566
417.05,1.7545
417.95,1.7403
418.05,1.7397
418.95,1.7385
419.05,1.7384
419.95,1.7349
420.05,1.7347
420.95,1.7387
421.05,1.7395
421.95,1.735
422.05,1.7335
422.95,1.7206
423.05,1.7195
423.95,1.7117
424.05,1.7103
424.95,1.6946
425.05,1.6928
425.95,1.6772
426.05,1.6751
426.95,1.6422
427.05,1.6364
427.95,1.5793
428.05,1.5737
428.95,1.5327
429.05,1.5283
429.95,1.5034
430.05,1.5024
430.95,1.5101
431.05,1.5145
431.95,1.5663
432.05,1.5727
432.95,1.6315
433.05,1.6382
433.95,1.6955
434.05,1.7012
434.95,1.7427
435.05,1.7459
435.95,1.7636
436.05,1.765
436.95,1.7698
437.05,1.7696
437.95,1.7677
438.05,1.768
438.95,1.777
439.05,1.7787
439.95,1.7984
440.05,1.801
440.95,1.8309
441.05,1.8349
441.95,1.8713
442.05,1.8747
442.95,1.8996
443.05,1.9018
443.95,1.9177
444.05,1.9193
444.95,1.9311
445.05,1.9319
445.95,1.941
446.05,1.9423
446.95,1.9647
447.05,1.9679
447.95,1.9967
448.05,1.9995
448.95,2.0211
449.05,2.023
449.95,2.0396
450.05,2.0411
450.95,2.0477
451.05,2.0475
451.95,2.0385
452.05,2.0372
452.95,2.027
453.05,2.0263
453.95,2.0236
454.05,2.0236
454.95,2.0238
455.05,2.0239
455.95,2.0277
456.05,2.0286
456.95,2.0373
457.05,2.0383
457.95,2.0458
458.05,2.0464
458.95,2.0514
459.05,2.0518
459.95,2.0571
460.05,2.0577
460.95,2.0605
461.05,2.0607
461.95,2.0624
462.05,2.0621
462.95,2.0568
463.05,2.0561
463.95,2.0475
464.05,2.0463
464.95,2.0357
465.05,2.0344
465.95,2.0222
466.05,2.0208
466.95,2.01
467.05,2.0091
467.95,2.0058
468.05,2.0057
468.95,2.0054
469.05,2.0056
469.95,2.0087
470.05,2.0093
470.95,2.0165
471.05,2.0175
471.95,2.0274
472.05,2.0284
472.95,2.037
473.05,2.0379
473.95,2.0464
474.05,2.0474
474.95,2.0561
475.05,2.057
475.95,2.0643
476.05,2.065
476.95,2.0713
477.05,2.0721
477.95,2.0784
478.05,2.079
478.95,2.0824
479.05,2.0825
479.95,2.0822
480.05,2.0818
480.95,2.0706
481.05,2.0686
481.95,2.0466
482.05,2.0437
482.95,2.0154
483.05,2.012
483.95,1.9813
484.05,1.9779
484.95,1.9491
485.05,1.9461
485.95,1.9239
486.05,1.922
486.95,1.9115
487.05,1.911
487.95,1.9132
488.05,1.914
488.95,1.9235
489.05,1.9248
489.95,1.9377
490.05,1.9393
490.95,1.9525
491.05,1.9538
491.95,1.9658
492.05,1.9671
492.95,1.9753
493.05,1.9759
493.95,1.9799
494.05,1.9803
494.95,1.9809
495.05,1.9806
495.95,1.9761
496.05,1.9753
496.95,1.9679
497.05,1.9672
497.95,1.9593
498.05,1.9582
498.95,1.9479
499.05,1.9468
499.95,1.9384
500.05,1.9375
500.95,1.9314
501.05,1.9309
501.95,1.9287
502.05,1.9286
502.95,1.9299
503.05,1.9302
503.95,1.9338
504.05,1.9343
504.95,1.9392
505.05,1.9398
505.95,1.9444
506.05,1.9448
506.95,1.9472
507.05,1.9472
507.95,1.946
508.05,1.9457
508.95,1.9419
509.05,1.9415
509.95,1.9356
510.05,1.9347
510.95,1.9223
511.05,1.9206
511.95,1.9026
512.05,1.9003
512.95,1.8802
513.05,1.878
513.95,1.8589
514.05,1.8569
514.95,1.8399
515.05,1.8381
515.95,1.8227
516.05,1.8211
516.95,1.8097
517.05,1.8088
517.95,1.8059
518.05,1.8062
518.95,1.812
519.05,1.8129
519.95,1.8225
520.05,1.8235
520.95,1.8317
521.05,1.8326
521.95,1.8415
522.05,1.8425
522.95,1.8527
523.05,1.8538
523.95,1.8645
524.05,1.8655
524.95,1.8743
525.05,1.8748
525.95,1.8781
526.05,1.8783
526.95,1.881
527.05,1.8814
527.95,1.8865
528.05,1.8872
528.95,1.8944
529.05,1.8951
529.95,1.9008
530.05,1.9013
530.95,1.9043
531.05,1.9046
531.95,1.9058
532.05,1.9059
532.95,1.9061
533.05,1.9061
533.95,1.9055
534.05,1.9053
534.95,1.9028
535.05,1.9024
535.95,1.8977
536.05,1.8972
536.95,1.8914
537.05,1.8907
537.95,1.8853
538.05,1.8848
538.95,1.8804
539.05,1.8799
539.95,1.8764
540.05,1.8761
540.95,1.8737
541.05,1.8735
541.95,1.8725
542.05,1.8724
542.95,1.872
543.05,1.872
543.95,1.8724
544.05,1.8725
544.95,1.8734
545.05,1.8735
545.95,1.8737
546.05,1.8737
546.95,1.8743
547.05,1.8744
547.95,1.8752
548.05,1.8752
548.95,1.8751
549.05,1.875
549.95,1.8737
550.05,1.8735
550.95,1.8709
551.05,1.8705
551.95,1.8665
552.05,1.8661
552.95,1.8622
553.05,1.8617
553.95,1.8577
554.05,1.8572
554.95,1.8531
555.05,1.8526
555.95,1.8479
556.05,1.8474
556.95,1.8426
557.05,1.8421
557.95,1.8373
558.05,1.8368
558.95,1.8333
559.05,1.833
559.95,1.8308
560.05,1.8307
560.95,1.8295
561.05,1.8294
561.95,1.828
562.05,1.8278
562.95,1.8264
563.05,1.8263
563.95,1.8257
564.05,1.8257
564.95,1.8258
565.05,1.8259
565.95,1.8267
566.05,1.8268
566.95,1.8277
567.05,1.8278
567.95,1.8286
568.05,1.8286
568.95,1.829
569.05,1.8291
569.95,1.8293
570.05,1.8293
570.95,1.8295
571.05,1.8296
571.95,1.8303
572.05,1.8304
572.95,1.8311
573.05,1.8312
573.95,1.8316
574.05,1.8316
574.95,1.8315
575.05,1.8314
575.95,1.8307
576.05,1.8306
576.95,1.8293
577.05,1.8292
577.95,1.8279
578.05,1.8278
578.95,1.8261
579.05,1.8259
579.95,1.8228
580.05,1.8224
580.95,1.8185
581.05,1.818
581.95,1.8133
582.05,1.8127
582.95,1.808
583.05,1.8075
583.95,1.8026
584.05,1.802
584.95,1.797
585.05,1.7964
585.95,1.7913
586.05,1.7907
586.95,1.7859
587.05,1.7854
587.95,1.7809
588.05,1.7804
588.95,1.7766
589.05,1.7762
589.95,1.7734
590.05,1.7732
590.95,1.7712
591.05,1.771
591.95,1.7691
592.05,1.7689
592.95,1.7672
593.05,1.767
593.95,1.7656
594.05,1.7654
594.95,1.7639
595.05,1.7638
595.95,1.7623
596.05,1.7622
596.95,1.7606
597.05,1.7604
597.95,1.7586
598.05,1.7583
598.95,1.7559
599.05,1.7556
599.95,1.7528
600.05,1.7525
600.95,1.749
601.05,1.7486
601.95,1.7448
602.05,1.7444
602.95,1.7407
603.05,1.7403
603.95,1.7363
604.05,1.7358
604.95,1.7314
605.05,1.7308
605.95,1.7258
606.05,1.7251
606.95,1.7196
607.05,1.7189
607.95,1.7131
608.05,1.7125
608.95,1.7071
609.05,1.7064
609.95,1.7011
610.05,1.7005
610.95,1.6955
611.05,1.695
611.95,1.6899
612.05,1.6893
612.95,1.6844
613.05,1.6838
613.95,1.6787
614.05,1.6782
614.95,1.6735
615.05,1.673
615.95,1.669
616.05,1.6686
616.95,1.6655
617.05,1.6652
617.95,1.6627
618.05,1.6625
618.95,1.6604
619.05,1.6602
619.95,1.6579
620.05,1.6577
620.95,1.6553
621.05,1.655
621.95,1.6523
622.05,1.652
622.95,1.6493
623.05,1.649
623.95,1.6464
624.05,1.6461
624.95,1.6438
625.05,1.6435
625.95,1.6413
626.05,1.6411
626.95,1.639
627.05,1.6388
627.95,1.6364
628.05,1.636
628.95,1.6332
629.05,1.6328
629.95,1.6296
630.05,1.6293
630.95,1.6259
631.05,1.6255
631.95,1.6224
632.05,1.622
632.95,1.6191
633.05,1.6187
633.95,1.6158
634.05,1.6155
634.95,1.6127
635.05,1.6124
635.95,1.6096
636.05,1.6093
636.95,1.606
637.05,1.6056
637.95,1.6021
638.05,1.6017
638.95,1.5983
639.05,1.5979
639.95,1.5943
640.05,1.5939
640.95,1.5907
641.05,1.5904
641.95,1.5873
642.05,1.5869
642.95,1.5829
643.05,1.5824
643.95,1.5774
644.05,1.5769
644.95,1.5714
645.05,1.5708
645.95,1.5654
646.05,1.5647
646.95,1.5592
647.05,1.5586
647.95,1.5534
648.05,1.5528
648.95,1.5477
649.05,1.5471
649.95,1.5423
650.05,1.5417
650.95,1.537
651.05,1.5365
651.95,1.5319
652.05,1.5313
652.95,1.5268
653.05,1.5263
653.95,1.5222
654.05,1.5217
654.95,1.518
655.05,1.5176
655.95,1.5147
656.05,1.5144
656.95,1.5127
657.05,1.5127
657.95,1.5119
658.05,1.5118
658.95,1.5115
659.05,1.5114
659.95,1.5114
660.05,1.5114
660.95,1.5114
661.05,1.5113
661.95,1.5111
662.05,1.5111
662.95,1.5107
663.05,1.5107
663.95,1.5101
664.05,1.5101
664.95,1.5094
665.05,1.5093
665.95,1.5086
666.05,1.5086
666.95,1.5079
667.05,1.5078
667.95,1.5068
668.05,1.5067
668.95,1.5053
669.05,1.5051
669.95,1.5033
670.05,1.503
670.95,1.5007
671.05,1.5004
671.95,1.4975
672.05,1.4971
672.95,1.494
673.05,1.4936
673.95,1.4907
674.05,1.4903
674.95,1.4872
675.05,1.4869
675.95,1.4838
676.05,1.4834
676.95,1.4803
677.05,1.48
677.95,1.4769
678.05,1.4766
678.95,1.4734
679.05,1.473
679.95,1.4697
680.05,1.4694
680.95,1.4662
681.05,1.4659
681.95,1.4626
682.05,1.4622
682.95,1.459
683.05,1.4586
683.95,1.4554
684.05,1.4551
684.95,1.4518
685.05,1.4514
685.95,1.4481
686.05,1.4477
686.95,1.4444
687.05,1.444
687.95,1.4405
688.05,1.4401
688.95,1.4367
689.05,1.4363
689.95,1.4329
690.05,1.4325
690.95,1.429
691.05,1.4286
691.95,1.4251
692.05,1.4247
692.95,1.4214
693.05,1.421
693.95,1.4176
694.05,1.4172
694.95,1.4139
695.05,1.4136
695.95,1.4103
696.05,1.4099
696.95,1.4065
697.05,1.4062
697.95,1.4029
698.05,1.4026
698.95,1.3993
699.05,1.3989
699.95,1.3957
700.05,1.3954
700.95,1.3922
701.05,1.3918
701.95,1.3887
702.05,1.3884
702.95,1.3852
703.05,1.3849
703.95,1.3817
704.05,1.3813
704.95,1.3782
705.05,1.3778
705.95,1.3745
706.05,1.3742
706.95,1.3709
707.05,1.3705
707.95,1.3673
708.05,1.367
708.95,1.3637
709.05,1.3633
709.95,1.36
710.05,1.3597
710.95,1.3565
711.05,1.3561
711.95,1.3529
712.05,1.3525
712.95,1.3492
713.05,1.3488
713.95,1.3456
714.05,1.3452
714.95,1.3418
715.05,1.3415
715.95,1.3382
716.05,1.3378
716.95,1.3347
717.05,1.3343
717.95,1.3312
718.05,1.3308
718.95,1.3277
719.05,1.3274
719.95,1.3245
720.05,1.3241
720.95,1.3212
721.05,1.3208
721.95,1.3179
722.05,1.3176
722.95,1.3148
723.05,1.3145
723.95,1.3117
724.05,1.3113
724.95,1.3084
725.05,1.3081
725.95,1.3051
726.05,1.3048
726.95,1.302
727.05,1.3017
727.95,1.2988
728.05,1.2985
728.95,1.2958
729.05,1.2955
729.95,1.2927
730.05,1.2925
730.95,1.2899
731.05,1.2896
731.95,1.287
732.05,1.2868
732.95,1.2842
733.05,1.2839
733.95,1.2813
734.05,1.281
734.95,1.2784
735.05,1.2781
735.95,1.2754
736.05,1.2751
736.95,1.2724
737.05,1.2721
737.95,1.2696
738.05,1.2693
738.95,1.2667
739.05,1.2665
739.95,1.264
740.05,1.2637
740.95,1.2614
741.05,1.2611
741.95,1.2589
742.05,1.2587
742.95,1.2565
743.05,1.2563
743.95,1.2541
744.05,1.2539
744.95,1.2518
745.05,1.2516
745.95,1.2494
746.05,1.2492
746.95,1.2471
747.05,1.2469
747.95,1.2446
748.05,1.2444
748.95,1.2421
749.05,1.2419
749.95,1.2396
750.05,1.2394
750.95,1.2372
751.05,1.2369
751.95,1.2346
752.05,1.2344
752.95,1.2321
753.05,1.2319
753.95,1.2297
754.05,1.2294
754.95,1.2271
755.05,1.2269
755.95,1.2246
756.05,1.2244
756.95,1.222
757.05,1.2217
757.95,1.2193
758.05,1.219
758.95,1.2165
759.05,1.2163
759.95,1.2139
760.05,1.2136
760.95,1.2111
761.05,1.2108
761.95,1.2083
762.05,1.208
762.95,1.2055
763.05,1.2052
763.95,1.2028
764.05,1.2025
764.95,1.2
765.05,1.1998
765.95,1.1973
766.05,1.1971
766.95,1.1947
767.05,1.1945
767.95,1.1922
768.05,1.192
768.95,1.1898
769.05,1.1895
769.95,1.1874
770.05,1.1871
770.95,1.1849
771.05,1.1847
771.95,1.1826
772.05,1.1824
772.95,1.1802
773.05,1.1799
773.95,1.1777
774.05,1.1775
774.95,1.1752
775.05,1.175
775.95,1.1727
776.05,1.1724
776.95,1.1702
777.05,1.17
777.95,1.1677
778.05,1.1675
778.95,1.1652
779.05,1.165
779.95,1.1627
780.05,1.1625
780.95,1.1603
781.05,1.1601
781.95,1.1578
782.05,1.1575
782.95,1.1553
783.05,1.155
783.95,1.1527
784.05,1.1524
784.95,1.15
785.05,1.1498
785.95,1.1474
786.05,1.1472
786.95,1.1447
787.05,1.1444
787.95,1.1419
788.05,1.1416
788.95,1.139
789.05,1.1387
789.95,1.1362
790.05,1.136
790.95,1.1334
791.05,1.1331
791.95,1.1305
792.05,1.1303
792.95,1.1278
793.05,1.1276
793.95,1.1252
794.05,1.125
794.95,1.1226
795.05,1.1223
795.95,1.12
796.05,1.1197
796.95,1.1174
797.05,1.1172
797.95,1.115
798.05,1.1147
798.95,1.1123
799.05,1.1121
799.95,1.1096
800.05,1.1093
800.95,1.1069
801.05,1.1066
801.95,1.1042
802.05,1.1039
802.95,1.1015
803.05,1.1012
803.95,1.0989
804.05,1.0986
804.95,1.0962
805.05,1.096
805.95,1.0938
806.05,1.0935
806.95,1.0913
807.05,1.0911
807.95,1.0888
808.05,1.0886
808.95,1.0864
809.05,1.0862
809.95,1.084
810.05,1.0837
810.95,1.0816
811.05,1.0813
811.95,1.0791
812.05,1.0788
812.95,1.0765
813.05,1.0763
813.95,1.074
814.05,1.0737
814.95,1.0714
815.05,1.0712
815.95,1.0688
816.05,1.0685
816.95,1.0662
817.05,1.0659
817.95,1.0636
818.05,1.0634
818.95,1.0613
819.05,1.061
819.95,1.0588
820.05,1.0586
820.95,1.0564
821.05,1.0562
821.95,1.0541
822.05,1.0539
822.95,1.0519
823.05,1.0517
823.95,1.0497
824.05,1.0495
824.95,1.0475
825.05,1.0472
825.95,1.0451
826.05,1.0449
826.95,1.0428
827.05,1.0425
827.95,1.0403
828.05,1.04
828.95,1.0378
829.05,1.0375
829.95,1.035
830.05,1.0347
830.95,1.0322
831.05,1.0319
831.95,1.0293
832.05,1.029
832.95,1.0264
833.05,1.0261
833.95,1.0234
834.05,1.0231
834.95,1.0204
835.05,1.0201
835.95,1.0175
836.05,1.0172
836.95,1.0147
837.05,1.0144
837.95,1.0119
838.05,1.0117
838.95,1.0091
839.05,1.0089
839.95,1.0064
840.05,1.0061
840.95,1.0034
841.05,1.0031
841.95,1.0003
842.05,1
842.95,0.99714
843.05,0.99684
843.95,0.99396
844.05,0.99367
844.95,0.99066
845.05,0.99034
845.95,0.98735
846.05,0.98702
846.95,0.98405
847.05,0.98372
847.95,0.98082
848.05,0.98052
848.95,0.97779
849.05,0.97749
849.95,0.97488
850.05,0.97459
850.95,0.97207
851.05,0.97181
851.95,0.96942
852.05,0.96917
852.95,0.96697
853.05,0.96673
853.95,0.96464
854.05,0.96442
854.95,0.96244
855.05,0.96222
855.95,0.96035
856.05,0.96015
856.95,0.9584
857.05,0.95821
857.95,0.95653
858.05,0.95634
858.95,0.95471
859.05,0.95453
859.95,0.95293
860.05,0.95274
860.95,0.95106
861.05,0.95089
861.95,0.94925
862.05,0.94907
862.95,0.94749
863.05,0.94732
863.95,0.94581
864.05,0.94565
864.95,0.94429
865.05,0.94414
865.95,0.94287
866.05,0.94273
866.95,0.94155
867.05,0.94143
867.95,0.94034
868.05,0.94022
868.95,0.93931
869.05,0.93922
869.95,0.93838
870.05,0.93829
870.95,0.93749
871.05,0.9374
871.95,0.93659
872.05,0.9365
872.95,0.93561
873.05,0.9355
873.95,0.93455
874.05,0.93444
874.95,0.93344
875.05,0.93333
875.95,0.93227
876.05,0.93215
876.95,0.931
877.05,0.93087
877.95,0.92965
878.05,0.92951
878.95,0.92824
879.05,0.9281
879.95,0.92683
880.05,0.92669
880.95,0.92542
881.05,0.92529
881.95,0.92408
882.05,0.92394
882.95,0.92273
883.05,0.92259
883.95,0.92137
884.05,0.92124
884.95,0.92
885.05,0.91986
885.95,0.91861
886.05,0.91847
886.95,0.91718
887.05,0.91704
887.95,0.91573
888.05,0.91558
888.95,0.91421
889.05,0.91405
889.95,0.9126
890.05,0.91245
890.95,0.91095
891.05,0.91078
891.95,0.90924
892.05,0.90906
892.95,0.90747
893.05,0.90729
893.95,0.90568
894.05,0.9055
894.95,0.90385
895.05,0.90367
895.95,0.90199
896.05,0.90181
896.95,0.90011
897.05,0.89992
897.95,0.8982
898.05,0.898
898.95,0.89625
899.05,0.89606
899.95,0.89431
900.05,0.89411
900.95,0.89236
901.05,0.89216
901.95,0.89041
902.05,0.89021
902.95,0.8885
903.05,0.88831
903.95,0.88661
904.05,0.88642
904.95,0.88474
905.05,0.88455
905.95,0.88287
906.05,0.8827
906.95,0.88104
907.05,0.88086
907.95,0.87924
908.05,0.87906
908.95,0.87743
909.05,0.87726
909.95,0.87564
910.05,0.87546
910.95,0.87384
911.05,0.87366
911.95,0.87203
912.05,0.87185
912.95,0.87023
913.05,0.87004
913.95,0.86841
914.05,0.86822
914.95,0.86656
915.05,0.86637
915.95,0.86468
916.05,0.86448
916.95,0.86277
917.05,0.86257
917.95,0.86084
918.05,0.86066
918.95,0.85893
919.05,0.85874
919.95,0.85704
920.05,0.85686
920.95,0.85523
921.05,0.85505
921.95,0.85343
922.05,0.85325
922.95,0.85165
923.05,0.85147
923.95,0.84988
924.05,0.84971
924.95,0.84814
925.05,0.84797
925.95,0.84642
926.05,0.84624
926.95,0.84468
927.05,0.8445
927.95,0.84294
928.05,0.84276
928.95,0.84117
929.05,0.84099
929.95,0.83936
930.05,0.83917
930.95,0.83753
931.05,0.83734
931.95,0.83567
932.05,0.8355
932.95,0.83382
933.05,0.83363
933.95,0.83195
934.05,0.83176
934.95,0.83006
935.05,0.82988
935.95,0.82819
936.05,0.82801
936.95,0.82634
937.05,0.82616
937.95,0.82452
938.05,0.82434
938.95,0.82276
939.05,0.82259
939.95,0.82105
940.05,0.82088
940.95,0.81937
941.05,0.81921
941.95,0.81775
942.05,0.81759
942.95,0.81621
943.05,0.81607
943.95,0.81482
944.05,0.81468
944.95,0.81342
945.05,0.81328
945.95,0.81195
946.05,0.8118
946.95,0.81039
947.05,0.81023
947.95,0.80862
948.05,0.80843
948.95,0.80673
949.05,0.80654
949.95,0.80479
950.05,0.8046
950.95,0.80285
951.05,0.80265
951.95,0.80095
952.05,0.80077
952.95,0.79916
953.05,0.79899
953.95,0.79752
954.05,0.79736
954.95,0.79601
955.05,0.79587
955.95,0.79461
956.05,0.79447
956.95,0.79328
957.05,0.79315
957.95,0.79199
958.05,0.79186
958.95,0.79072
959.05,0.7906
959.95,0.7895
960.05,0.78938
960.95,0.78831
961.05,0.7882
961.95,0.78714
962.05,0.78703
962.95,0.78601
963.05,0.7859
963.95,0.78488
964.05,0.78477
964.95,0.78376
965.05,0.78364
965.95,0.78262
966.05,0.78251
966.95,0.78148
967.05,0.78136
967.95,0.7803
968.05,0.78018
968.95,0.7791
969.05,0.77898
969.95,0.77788
970.05,0.77775
970.95,0.77663
971.05,0.7765
971.95,0.77536
972.05,0.77523
972.95,0.77406
973.05,0.77393
