pulsar,P_s,Pponto_s_por_s,distancia_kpc
J0006+1834,0.69374767,2.0970e-15,0.70
J0007+7303,0.315873191,3.6039e-13,1.40
J0014+4746,1.24069904,5.6446e-16,1.82
J0024-7204E,0.00353632915,9.8509e-20,4.00
J0024-7204F,0.00262357935,6.4500e-20,4.00
J0024-7204O,0.0026433433,3.0353e-20,4.00
J0024-7204Q,0.00403318118,3.4013e-20,4.00
J0024-7204T,0.00758847981,2.9374e-19,4.00
J0024-7204U,0.0043428267,9.5229e-20,4.00
J0026+6320,0.318357731,1.5006e-16,13.60
J0030+0451,0.00486545321,1.0174e-20,0.30
J0034-0534,0.00187718188,4.9660e-21,0.98
J0034-0721,0.942950995,4.0821e-16,1.03
J0040+5716,1.11822535,2.8790e-15,4.48
J0045-7042,0.6323358,2.4900e-15,59.70
J0045-7319,0.926275905,4.4632e-15,59.70
J0048+3412,1.2170943,2.3545e-15,3.68
J0051+0423,0.354731799,7.0000e-18,0.94
J0055+5117,2.11517115,9.5376e-15,2.40
J0056+4756,0.472036662,3.3285e-15,1.00
J0057-7201,0.738062443,1.0000e-16,2.49
J0100-7211,8.020392,1.8800e-11,59.70
J0101-6422,0.00257315197,5.1600e-21,0.73
J0102+6537,1.67916423,5.9549e-15,2.45
J0106+4855,0.083157305,4.2792e-16,7.33
J0108-1431,0.807564614,7.7040e-17,0.21
J0108+6608,1.28365984,1.3051e-14,1.65
J0108+6905,1.07111811,4.8090e-17,2.59
J0111-7131,0.688541512,7.0920e-15,59.70
J0113-7220,0.325883016,4.8590e-15,59.70
J0117+5914,0.101439066,5.8500e-15,2.14
J0131-7310,0.348124046,1.7614e-15,59.70
J0133-6957,0.463473742,1.2000e-16,2.42
J0134-2937,0.136961584,7.8372e-17,1.78
J0137+1654,0.414763027,1.2230e-17,2.51
J0139+5621,1.77534383,7.9096e-14,5.54
J0139+5814,0.272450631,1.0712e-14,2.60
J0141+6009,1.22294852,3.9107e-16,2.30
J0146+6145,8.6889941,1.9900e-12,3.60
J0147+5922,0.196321375,2.5676e-16,1.91
J0151-0635,1.46466455,4.4259e-16,1.93
J0152+0948,2.74664729,1.7000e-15,2.30
J0152-1637,0.832741613,1.2992e-15,0.69
J0156+3949,1.81156061,1.5160e-16,4.85
J0157+6212,2.35174494,1.8893e-13,1.61
J0201+7005,1.34918447,5.5144e-15,1.15
J0205+6449,0.0657159285,1.9375e-13,3.20
J0206-4028,0.630550141,1.1994e-15,0.88
J0211-8159,1.0773327,2.9000e-16,1.83
J0212+5222,0.376386292,6.6000e-15,1.91
J0214+5222,0.0245752948,2.9900e-19,1.21
J0215+6218,0.548879819,6.6212e-16,3.19
J0218+4232,0.00232309047,7.7389e-20,3.15
J0231+7026,1.46682031,3.1100e-15,2.25
J0248+6021,0.217094,5.5090e-14,2.00
J0255-5304,0.447708444,3.0600e-17,1.15
J0304+1932,1.38758445,1.2952e-15,0.95
J0323+3944,3.03207196,6.3562e-16,2.61
J0324+5239,0.33662023,3.8100e-16,6.28
J0329+1654,0.893319661,2.1525e-16,3.35
J0332+5434,0.7145197,2.0483e-15,1.00
J0335+4555,0.269200541,7.3505e-18,2.08
J0337+1715,0.00273258863,1.7666e-20,1.30
