tempo_s,strain_H1,strain_L1
-1.999756,-4.964709e-19,-1.370799e-18
-1.999512,-4.530871e-19,-1.396113e-18
-1.999268,-4.591335e-19,-1.437067e-18
-1.999023,-4.979485e-19,-1.448611e-18
-1.998779,-4.965721e-19,-1.451674e-18
-1.998535,-4.491742e-19,-1.476376e-18
-1.998291,-4.448845e-19,-1.475909e-18
-1.998047,-4.917627e-19,-1.428170e-18
-1.997803,-4.908688e-19,-1.396862e-18
-1.997559,-4.466424e-19,-1.423041e-18
-1.997314,-4.386892e-19,-1.464283e-18
-1.997070,-4.734821e-19,-1.475279e-18
-1.996826,-4.875556e-19,-1.479312e-18
-1.996582,-4.444608e-19,-1.500414e-18
-1.996338,-4.200706e-19,-1.502961e-18
-1.996094,-4.648647e-19,-1.455630e-18
-1.995850,-4.812822e-19,-1.416899e-18
-1.995605,-4.362546e-19,-1.444946e-18
-1.995361,-4.178048e-19,-1.490728e-18
-1.995117,-4.476432e-19,-1.503251e-18
-1.994873,-4.717519e-19,-1.504170e-18
-1.994629,-4.393090e-19,-1.522625e-18
-1.994385,-3.983950e-19,-1.526159e-18
-1.994141,-4.347140e-19,-1.476757e-18
-1.993896,-4.663780e-19,-1.436624e-18
-1.993652,-4.260474e-19,-1.462821e-18
-1.993408,-3.971106e-19,-1.508860e-18
-1.993164,-4.172719e-19,-1.524072e-18
-1.992920,-4.490818e-19,-1.524704e-18
-1.992676,-4.294587e-19,-1.543169e-18
-1.992432,-3.799419e-19,-1.546787e-18
-1.992188,-3.997808e-19,-1.497725e-18
-1.991943,-4.435896e-19,-1.453042e-18
-1.991699,-4.166131e-19,-1.478403e-18
-1.991455,-3.761905e-19,-1.530141e-18
-1.991211,-3.871108e-19,-1.543128e-18
-1.990967,-4.193899e-19,-1.540046e-18
-1.990723,-4.146549e-19,-1.556330e-18
-1.990479,-3.647389e-19,-1.561634e-18
-1.990234,-3.602968e-19,-1.513204e-18
-1.989990,-4.126614e-19,-1.464148e-18
-1.989746,-4.030891e-19,-1.492260e-18
-1.989502,-3.524725e-19,-1.544865e-18
-1.989258,-3.555206e-19,-1.557387e-18
-1.989014,-3.870241e-19,-1.554634e-18
-1.988770,-3.927682e-19,-1.567291e-18
-1.988525,-3.492027e-19,-1.573610e-18
-1.988281,-3.241282e-19,-1.525550e-18
-1.988037,-3.746179e-19,-1.472713e-18
-1.987793,-3.840254e-19,-1.496798e-18
-1.987549,-3.297238e-19,-1.551652e-18
-1.987305,-3.206013e-19,-1.567958e-18
-1.987061,-3.472434e-19,-1.561960e-18
-1.986816,-3.657189e-19,-1.573007e-18
-1.986572,-3.325215e-19,-1.579510e-18
-1.986328,-2.894442e-19,-1.532435e-18
-1.986084,-3.314051e-19,-1.478121e-18
