planeta,M_Mterra,erro_M,R_Rterra,erro_R
CoRoT-17 b,772.2900,95.3400,11.4300,0.7800
TOI-4377 b,304.1618,28.2867,15.1097,0.9079
TOI-858 B b,349.6112,25.4263,14.0673,0.4372
TOI-1296 b,95.3000,4.7000,14.1165,0.2845
HD 191939 c,8.0000,1.0000,3.1950,0.0750
WASP-105 b,572.0940,31.7830,10.7606,0.3363
TOI-1759 b,10.8000,1.5000,3.1400,0.1000
KOI-142 b,9.5000,1.1000,3.4380,0.0750
TOI-1410.01,12.5000,1.1000,3.1008,0.2203
TOI-5110 b,921.7024,41.3177,11.9824,0.6053
TOI-791 c,18.6000,2.2400,12.9464,0.4484
Qatar-7 b,597.5204,79.4575,19.0553,0.3363
TOI-6695 b,66.7440,3.1783,9.5276,0.2242
WASP-37 b,572.0700,54.0290,13.0020,0.7850
TOI-2525 b,26.6976,1.5891,8.6758,0.1121
Kepler-57 c,6.8600,1.5200,2.1960,0.0670
KOI-134 b,346.4330,38.1394,12.0384,0.1906
HATS-72 b,39.8559,1.2395,8.0974,0.0359
WASP-46 b,607.0553,41.3179,13.1594,0.4147
TOI-2141 b,20.1000,1.6000,3.1470,0.0430
TOI-4562 b,732.0000,152.0000,12.5300,0.1500
Kepler-51 d,7.6000,1.1000,9.7000,0.5000
HAT-P-27 b,197.0500,9.5300,11.4300,0.7800
GJ 3090 b,4.5200,0.4700,2.1800,0.0600
Kepler-117 c,584.7800,57.2100,12.3410,0.3920
K2-97 b,174.4878,18.7519,13.4508,1.2330
HD 3167 c,11.4100,0.8580,2.9830,0.0830
TOI-6019 b,149.0000,15.0000,12.3000,0.3000
Qatar-2 b,792.6350,17.1620,14.0560,0.1460
TOI-286 b,4.5300,0.7800,1.4200,0.1000
TOI-1279 b,10.6000,2.5000,2.6615,0.1380
Kepler-82 c,13.9000,1.3000,5.3400,0.3200
TOI-1807 b,2.4400,0.6000,1.4968,0.0809
Kepler-26 b,5.1200,0.6500,2.7800,0.1100
KOI-1831 d,2.2300,0.5000,1.1300,0.0500
TOI-1444 b,3.5800,0.7600,1.4179,0.0467
KOI-1783.01,71.0000,11.2000,8.8600,0.2500
KELT-16 b,874.0325,50.8528,15.8607,0.9416
CoRoT-12 b,291.4380,22.2470,16.1400,1.4600
GJ 143 b,22.7000,2.2000,2.6100,0.1700
TOI-2969 b,368.6810,12.7131,12.3299,0.8967
TOI-1422 b,9.5000,2.0000,3.8300,0.1100
HATS-59 b,256.1710,21.9303,12.6213,0.8631
HD 152843 c,9.6700,1.9700,5.9400,0.1800
TOI-4342 b,7.3000,1.3000,2.3290,0.0860
NGTS-16 b,211.9915,49.8991,14.5717,1.4572
K2-30 b,184.0236,8.8992,11.6462,0.5605
TOI-125 d,13.6000,1.2000,2.9300,0.1700
HATS-6 b,101.3878,22.2481,11.1866,0.2130
HATS-66 b,1694.0339,216.1244,15.8159,0.9416
Qatar-5 b,1373.0256,57.2094,12.4084,0.7174
K2-132 b,155.7367,19.0698,14.5717,0.7846
WASP-76 b,284.1386,4.4496,20.7815,0.8631
K2-290 c,246.0004,14.9380,11.2763,0.5605
HATS-77 b,436.6962,31.7828,13.0585,0.2354
WASP-142 b,266.9772,28.6047,17.1498,0.8967
WASP-53 b,677.6136,29.2404,12.0385,0.4147
TOI-220 b,13.8000,1.0000,3.0300,0.1500
WASP-8 b,807.2882,104.8839,12.6662,0.5605
TOI-4087 b,232.0147,44.4960,13.0473,0.2802
