planeta,tempo_desde_meio_transito_h,fluxo_relativo
HAT-P-7 b,-5.09096,0.9999614
HAT-P-7 b,-5.07461,1.0003122
HAT-P-7 b,-5.05827,1.0000548
HAT-P-7 b,-5.04192,0.9997844
HAT-P-7 b,-5.02557,0.9997481
HAT-P-7 b,-5.00923,1.0001734
HAT-P-7 b,-4.99288,0.9999243
HAT-P-7 b,-4.97653,1.0000249
HAT-P-7 b,-4.96019,1.0000635
HAT-P-7 b,-4.94384,0.9998409
HAT-P-7 b,-4.92749,0.9999853
HAT-P-7 b,-4.91115,0.9998630
HAT-P-7 b,-4.89480,1.0000288
HAT-P-7 b,-4.87845,0.9998996
HAT-P-7 b,-4.86211,0.9998428
HAT-P-7 b,-4.84576,1.0001692
HAT-P-7 b,-4.82941,0.9999685
HAT-P-7 b,-4.81306,1.0000729
HAT-P-7 b,-4.79672,1.0001474
HAT-P-7 b,-4.78037,0.9998428
HAT-P-7 b,-4.76403,0.9999048
HAT-P-7 b,-4.74768,0.9999500
HAT-P-7 b,-4.73133,1.0000386
HAT-P-7 b,-4.71498,0.9998996
HAT-P-7 b,-4.69864,0.9998695
HAT-P-7 b,-4.68229,0.9999710
HAT-P-7 b,-4.66595,0.9998717
HAT-P-7 b,-4.64960,0.9997453
HAT-P-7 b,-4.63325,0.9999166
HAT-P-7 b,-4.61690,0.9998744
HAT-P-7 b,-4.60056,1.0000131
HAT-P-7 b,-4.58421,1.0001947
HAT-P-7 b,-4.56786,1.0001419
HAT-P-7 b,-4.55152,1.0003669
HAT-P-7 b,-4.53517,1.0001847
HAT-P-7 b,-4.51882,1.0002633
HAT-P-7 b,-4.50248,0.9996249
HAT-P-7 b,-4.48613,0.9998930
HAT-P-7 b,-4.46978,0.9999584
HAT-P-7 b,-4.45344,0.9997971
HAT-P-7 b,-4.43709,0.9996455
HAT-P-7 b,-4.42074,1.0001217
HAT-P-7 b,-4.40440,1.0000482
HAT-P-7 b,-4.38805,1.0000247
HAT-P-7 b,-4.37170,0.9999189
HAT-P-7 b,-4.35536,0.9999522
