supernova,z_CMB,modulo_distancia_mu,erro_mu
2013cs,0.01029,32.3353,0.4014
2002dj,0.01051,32.9010,0.3095
2002dj,0.01051,32.8654,0.3345
2013E,0.01042,32.7794,0.3485
1997do,0.01048,33.1081,0.3647
ASASSN-16jf,0.01040,33.5709,0.3149
iPTF13ebh,0.01238,33.7337,0.3425
iPTF13ebh,0.01238,33.6369,0.2952
2010ko,0.01096,33.8347,0.3539
2013ex,0.01096,33.4336,0.2834
2013ex,0.01096,33.4947,0.3252
2009ab,0.01189,33.5833,0.2812
2011ao,0.01168,33.4974,0.3015
2001cz,0.01275,33.8783,0.3464
2009kk,0.01244,33.7023,0.2667
2010Y,0.01142,33.7403,0.2541
2008R,0.01260,33.8286,0.2651
2002ha,0.01220,33.7080,0.2408
2002ha,0.01220,33.7246,0.2501
2009kq,0.01247,33.5874,0.2601
2009kq,0.01247,33.5178,0.2662
2001bt,0.01407,33.7492,0.4167
2001ep,0.01306,33.6365,0.2874
2001ep,0.01306,33.5028,0.3311
2013gy,0.01309,33.7355,0.2398
2013gy,0.01309,33.7607,0.2872
AT2017cfd,0.01222,33.5752,0.2926
2017cfd,0.01222,33.5673,0.2848
2007hj,0.01288,33.9682,0.3037
2007hj,0.01288,33.9846,0.2994
2007hj,0.01288,33.9247,0.3046
2008hv,0.01360,33.7970,0.2779
2008hv,0.01360,33.7683,0.2328
2008hv,0.01360,33.7720,0.2358
1997E,0.01314,33.7649,0.2888
2007cv,0.01361,33.6741,0.3454
1992al,0.01434,33.6968,0.2335
1999dk,0.01400,33.8053,0.2888
1999dk,0.01400,33.6651,0.2962
ASASSN-16dn,0.01406,33.8206,0.2509
ASASSN-16la,0.01424,33.8444,0.2655
2005kc,0.01386,34.0187,0.3072
2005kc,0.01386,34.0249,0.3523
2007ca,0.01509,34.3366,0.3707
2007ca,0.01509,34.1781,0.3969
2007ca,0.01509,34.2520,0.3972
2006N,0.01416,33.9078,0.2405
2006td,0.01504,34.1727,0.3650
2013gq,0.01457,33.7526,0.2163
2004eo,0.01420,33.8826,0.2493
2003gt,0.01422,33.9253,0.2439
2005bo,0.01503,33.7553,0.3905
2005bo,0.01503,33.7189,0.3928
2001fe,0.01448,33.8916,0.2407
2013fa,0.01429,33.7894,0.3974
2000dm,0.01472,34.0109,0.2702
PSNJ2043531,0.01449,34.1902,0.3727
2011df,0.01402,33.8524,0.2776
2005el,0.01483,33.9740,0.2296
2005el,0.01483,33.9261,0.2317
2001cn,0.01509,33.8877,0.2950
2005de,0.01495,34.1793,0.2668
SN2017jl,0.01529,33.7706,0.3022
ASASSN-16ad,0.01522,34.0334,0.3443
ATLAS16cxr,0.01518,34.3426,0.3729
iPTF16auf,0.01566,34.0744,0.3149
2008bc,0.01572,34.0331,0.2265
2011im,0.01493,34.2732,0.3404
1999ej,0.01534,34.2581,0.2725
1999ej,0.01534,34.2112,0.2581
2001en,0.01534,33.9994,0.2863
2001en,0.01534,33.8852,0.3139
2001V,0.01592,33.7902,0.2906
2001V,0.01592,33.8072,0.2904
2008ec,0.01506,34.1732,0.2644
2008ec,0.01506,34.1302,0.3343
2008eo,0.01539,34.3317,0.2787
2009nq,0.01527,34.1657,0.2869
2005al,0.01629,33.9986,0.2199
2013hn,0.01629,34.0697,0.2904
2001bf,0.01556,33.9926,0.2393
2001bf,0.01556,33.9004,0.2190
ASASSN-15oh,0.01579,34.3916,0.2703
1994S,0.01619,34.0287,0.2248
1999aa,0.01579,34.1663,0.2429
1999aa,0.01579,34.1323,0.2095
2002cs,0.01538,34.0329,0.2725
iPTF14bdn,0.01636,34.1062,0.2816
2007ss,0.01619,34.4137,0.3464
2010kg,0.01595,33.9999,0.3347
2013fw,0.01570,34.1608,0.2181
2013Q,0.01612,33.9726,0.4153
iPTF13dge,0.01581,34.2793,0.2619
2007fs,0.01633,34.3408,0.1980
SN2016gfr,0.01630,33.8985,0.2454
ASASSN-16ip,0.01632,34.1679,0.2465
PSNJ0107203,0.01601,33.9673,0.2844
1998ef,0.01610,33.8410,0.2893
1998ef,0.01610,33.8975,0.2646
ASASSN-15ti,0.01671,34.4894,0.3103
ASASSN-15od,0.01678,34.3409,0.2284
1996bv,0.01673,34.0755,0.2978
1997Y,0.01661,34.1973,0.2145
2001da,0.01658,34.0220,0.3090
2001da,0.01658,34.2003,0.3253
ASASSN-15kx,0.01697,34.6084,0.2198
2000dk,0.01649,34.1436,0.2827
2000dk,0.01649,34.1517,0.2571
2007fb,0.01680,34.4009,0.2217
2007fb,0.01680,34.5101,0.2312
2006ef,0.01694,34.3610,0.2203
2008C,0.01709,34.3100,0.2636
2008C,0.01709,34.2669,0.2624
2004fz,0.01646,33.7799,0.3306
2006ax,0.01774,34.3228,0.2002
2006ax,0.01774,34.3133,0.1978
1998V,0.01718,34.1465,0.2314
2013gs,0.01748,34.2221,0.3204
2008L,0.01734,34.3364,0.2101
2008L,0.01734,34.2464,0.2134
2009le,0.01739,34.2939,0.2466
2009le,0.01739,34.2418,0.2229
2000dr,0.01765,34.2975,0.3189
2007as,0.01791,34.2661,0.2342
1992bo,0.01805,34.6078,0.2015
2010ai,0.01918,34.9792,0.2185
ASASSN-17co,0.01791,34.2005,0.2806
PS15coh,0.01796,34.4393,0.2269
2009gf,0.01925,34.4920,0.2554
2009gf,0.01925,34.5760,0.2962
2016ffh,0.01851,34.6171,0.2390
ATLAS16cpu,0.01851,34.5716,0.2400
2000cu,0.01902,34.6066,0.2775
2011fs,0.01822,34.5466,0.2155
2011fs,0.01822,34.4866,0.3210
ASASSN-16cs,0.01839,34.4286,0.2814
2006kf,0.01955,34.7747,0.1954
2006kf,0.01955,34.8085,0.1955
2008hs,0.01835,34.7570,0.4666
2008hs,0.01835,34.7394,0.4335
2007au,0.01992,34.6865,0.4062
2016W,0.01855,34.3648,0.2957
2002kf,0.01948,34.6854,0.2043
1992bc,0.01976,34.5121,0.1995
2009ds,0.02033,34.5072,0.2339
2009ds,0.02033,34.7020,0.1925
2006ej,0.01926,34.5995,0.1883
2006ej,0.01926,34.5012,0.2956
2006ej,0.01926,34.5760,0.1899
2006ej,0.01926,34.6482,0.1878
2002jy,0.01870,34.9988,0.1877
2016hpw,0.02019,34.8165,0.2418
ATLAS16dqf,0.02019,34.5749,0.3758
2005ki,0.02066,34.5709,0.1877
2005ki,0.02066,34.5656,0.1777
2005ki,0.02066,34.4931,0.1908
ASASSN-15lg,0.02121,34.6552,0.2146
2001dl,0.01983,35.1263,0.3758
PSNJ1602512,0.02039,34.5560,0.3339
2007st,0.02061,34.4168,0.2172
ASASSN-17bs,0.02014,34.5647,0.2495
2010A,0.02079,34.4863,0.3304
2003W,0.02087,34.6740,0.2309
2003W,0.02087,34.6349,0.2545
2001br,0.02046,34.8118,0.3002
ASASSN-16lc,0.02001,34.6956,0.2165
AT2016eoa,0.01993,34.6693,0.2307
ASASSN-16lg,0.02093,34.3750,0.2031
2004bw,0.02207,34.8194,0.1964
2008Z,0.02146,35.1180,0.3107
2008Z,0.02146,35.2056,0.3041
2007bc,0.02187,34.7561,0.1806
2007bc,0.02187,34.7344,0.1772
2007bc,0.02187,34.7419,0.1878
SN2016ajf,0.01978,34.7627,0.3400
2009dc,0.02179,34.3468,0.1990
2018fop,0.02017,34.5899,0.1992
ASASSN-15uv,0.02104,34.6114,0.3933
ASASSN-18da,0.02157,34.7709,0.1959
2006et,0.02140,34.7583,0.2834
2006et,0.02140,34.7742,0.2536
1999dg,0.02263,34.8589,0.2464
2001cp,0.02245,34.9654,0.2170
1995ak,0.02193,34.6739,0.2478
2009na,0.02209,34.7477,0.1991
ASASSN-18iu,0.02202,34.8847,0.1860
ATLAS16dpb,0.02238,35.0481,0.2886
SNF20080514-002,0.02292,35.0136,0.2162
2006dm,0.02161,34.8059,0.1802
2006dm,0.02161,34.8234,0.2581
2008ia,0.02257,34.9245,0.1698
2004bg,0.02214,34.7727,0.1990
2004bg,0.02214,34.8704,0.2045
2002cu,0.02217,34.7814,0.2247
2006cp,0.02334,34.7714,0.3027
2006cp,0.02334,34.8603,0.2431
2000fa,0.02181,34.7590,0.2887
2000fa,0.02181,34.7997,0.2553
ASASSN-16bn,0.02253,35.0392,0.2145
ASASSN-17aj,0.02253,34.7306,0.2431
AT2017cfb,0.02382,34.8438,0.2205
2006bq,0.02226,34.8693,0.2033
2002ef,0.02224,34.6849,0.3583
2010cr,0.02368,35.2685,0.3049
ASASSN-15il,0.02374,34.8584,0.2013
2000cn,0.02260,34.9992,0.2674
2000cn,0.02260,34.9712,0.2373
2017hoq,0.02350,34.9850,0.1907
2009jb,0.02324,34.7666,0.3403
2014ai,0.02317,35.0225,0.2712
ASASSN-14fa,0.02262,34.8830,0.2750
2004at,0.02287,34.9168,0.1785
PS15cku,0.02222,35.0537,0.2297
2007ci,0.02295,34.6478,0.2670
2007ci,0.02295,34.4301,0.2794
2009al,0.02328,34.9851,0.2826
2009al,0.02328,35.0081,0.2217
2009al,0.02328,34.9783,0.2254
2009cz,0.02315,34.8582,0.2603
2009cz,0.02315,34.8582,0.1706
ASASSN-15nr,0.02309,34.8331,0.2638
2004bk,0.02405,34.8391,0.2159
2018enc,0.02450,34.9998,0.2177
2007qe,0.02280,35.0406,0.2066
2007qe,0.02280,34.9509,0.2591
ATLAS17bas,0.02331,34.5715,0.2617
ASASSN-15tz,0.02220,34.9543,0.2740
2010ao,0.02422,34.9430,0.2098
2006sr,0.02307,34.9949,0.1808
ASASSN-15jt,0.02396,34.8890,0.4037
ASASSN-16em,0.02296,34.9940,0.2774
2000ca,0.02454,34.8993,0.1903
1998eg,0.02358,35.1018,0.1950
PS1-14xw,0.02436,35.1049,0.3103
2010gp,0.02436,34.4711,0.3985
2000bh,0.02421,34.8782,0.2241
2007F,0.02420,34.9421,0.2083
2007F,0.02420,35.0840,0.1836
1993H,0.02450,35.1803,0.2323
AT2016bln,0.02425,35.0771,0.1954
