planeta,estrela,a_UA,R_Rterra,Teff_K,L_Lsol,distancia_pc
XO-2 S d,XO-2 S,5.46000,13.000,5325,0.75332,151.40
Kepler-1808 b,Kepler-1808,0.14670,3.025,5530,0.86612,1022.01
Kepler-418 b,Kepler-418,0.39249,13.450,5820,1.2916,1002.53
Kepler-249 d,Kepler-249,0.09700,1.570,3568,0.032,190.40
Kepler-1408 b,Kepler-1408,0.04218,0.890,6170,3.7922,535.05
HR 8799 b,HR 8799,68.00000,13.000,7205,4.9201,41.24
Kepler-500 b,Kepler-500,0.08361,2.580,5813,1.3066,807.48
CoRoT-17 b,CoRoT-17,0.04610,11.430,5740,1.3621,1176.12
Kepler-1685 b,Kepler-1685,0.14850,2.577,5484,0.56876,1141.89
Kepler-296 b,Kepler-296,0.07900,1.610,3740,0.031,167.00
TOI-1744.01,TOI-1744,0.16409,2.680,6179,1.7052,114.39
TOI-4377 b,TOI-4377,0.05790,15.110,4974,6.64,455.82
HD 64114 b,HD 64114,0.24600,4.410,5676,0.72887,31.53
TOI-858 B b,TOI-858 B,0.04435,14.067,5842,1.79,250.49
HD 27969 b,HD 27969,1.55200,12.900,5966,3.3744,67.93
Kepler-1947 b,Kepler-1947,0.07375,1.010,6040,1.2899,468.77
Kepler-81 d,Kepler-81,0.12800,1.210,4500,0.129,348.29
Kepler-900 b,Kepler-900,0.06790,2.080,4836,0.24638,487.52
TOI-1296 b,TOI-1296,0.05100,14.116,5567,2.521,323.26
HD 24040 b,HD 24040,4.92000,12.900,5802,1.8866,46.62
Kepler-638 b,Kepler-638,0.06695,1.830,5382,3.4011,991.21
Kepler-375 b,Kepler-375,0.10100,1.450,5826,0.68742,1238.81
Kepler-1590 b,Kepler-1590,0.07116,1.140,6053,1.1571,771.15
Kepler-666 b,Kepler-666,0.05420,2.400,5887,1.5193,1508.71
Kepler-586 b,Kepler-586,0.03310,2.790,5575,0.72279,693.77
HD 180053 b,HD 180053,0.84300,13.300,5131,12.559,137.04
Kepler-1827 b,Kepler-1827,0.04647,1.856,5423,1.5382,686.46
Kepler-83 b,Kepler-83,0.07295,2.830,4082,0.079001,400.41
TOI-1410 c,TOI-1410,0.23900,5.630,4635,0.239,72.75
Kepler-578 b,Kepler-578,0.02660,2.000,5334,0.46036,541.43
TOI-3807 b,TOI-3807,0.04210,18.495,5772,2.15,421.75
Kepler-239 b,Kepler-239,0.09500,2.330,4914,0.33505,648.11
Kepler-1812 b,Kepler-1812,0.07650,2.325,6174,1.9049,1409.19
HD 191939 c,HD 191939,0.17520,3.195,5348,0.64999,53.61
Kepler-931 b,Kepler-931,0.07190,1.330,5241,0.44668,490.00
Kepler-501 c,Kepler-501,0.04670,1.681,5794,1.6457,1125.24
Kepler-1664 b,Kepler-1664,0.11370,3.033,5736,1.1223,626.69
WASP-105 b,WASP-105,0.07500,10.761,5070,0.94565,169.27
Kepler-58 b,Kepler-58,0.09291,2.780,5843,0.99033,969.25
GJ 887 b,GJ 887,0.06830,1.800,3688,0.0368,3.29
TOI-1759 b,TOI-1759,0.11770,3.140,4065,0.08767,40.07
HIP 70849 b,HIP 70849,3.99000,12.900,4105,0.089501,24.06
KOI-142 b,KOI-142,0.09586,3.438,5466,0.6838,376.86
Barnard c,Barnard's star,0.02740,0.743,3195,0.00355,1.83
HATS-62 b,HATS-62,0.04163,11.825,5416,0.671,523.07
Kepler-1350 c,Kepler-1350,0.02220,1.730,3827,0.052071,340.69
TOI-1410.01,TOI-1410,0.02070,3.101,4635,0.239,72.75
TOI-5110 b,TOI-5110,0.21570,11.982,6160,7.0301,392.26
GJ 229 A c,GJ 229,0.38400,2.870,3564,0.028,5.76
Kepler-341 c,Kepler-341,0.08000,1.700,6012,1.3403,1047.03
TOI-791 c,TOI-791,0.86300,12.946,6294,3.7707,341.22
Kepler-590 b,Kepler-590,0.06470,4.020,6000,3,1421.81
HD 180902 b,HD 180902,1.40000,13.500,4961,9.4,104.58
Qatar-7 b,Qatar-7,0.03520,19.055,6387,3.66,705.98
TOI-5624 e,TOI-5624,0.14390,3.247,5327,0.486,101.91
Kepler-764 b,Kepler-764,0.07240,1.640,5557,0.73107,1047.84
TOI-7166 b,TOI-7166,0.06191,2.010,3099,0.004103,35.42
TOI-6695 b,TOI-6695,0.40200,9.528,6400,3.47,282.54
GJ 3998 b,GJ 3998,0.03000,1.390,3726,0.043853,18.15
Kepler-656 b,Kepler-656,0.02231,3.120,5281,0.50276,890.35
Kepler-751 b,Kepler-751,0.12630,2.460,5387,0.54449,760.43
HD 207496 b,HD 207496,0.06290,2.250,4819,0.31004,23.61
Kepler-276 d,Kepler-276,0.24666,2.800,5693,0.8138,1144.86
WASP-37 b,WASP-37,0.04460,13.002,5800,0.9528,392.79
Kepler-122 f,Kepler-122,0.28575,1.750,5917,1.8618,1027.45
Kepler-397 c,Kepler-397,0.48000,6.180,5307,0.42073,969.00
