#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-30T17:30:31 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-30T17:30:31	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2fMNRAS%2f479%2f5491%2ftable1&-out=Name%2cSp%2cMass%2cRad%2cTeff&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74795491
#Name: J/MNRAS/479/5491
#Title: Absolute parameters of 509 main-sequence stars (Eker+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/479/5491	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/479/5491	    IVOID of underlying data collection
#INFO	creator=Eker Z.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.479.5491E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/479/5491	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74795491	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_479_5491_table1:
#Name: J/MNRAS/479/5491/table1
#Title: The basic stellar parameters and relative errors of the stars selected for the calibration sample
#Column	Name	(a24)	Star name	[ucd=meta.id]
#Column	Sp	(a12)	Spectral type	[ucd=src.spType]
#Column	Mass	(F7.4)	Stellar Mass	[ucd=phys.mass]
#Column	Rad	(F7.4)	Stellar radius R/R_{sun}_	[ucd=phys.size.radius]
#Column	Teff	(I5)	Published effective temperature	[ucd=meta.ref;phys.temperature.effective]
Name	Sp	Mass	Rad	Teff
 	 	Msun	Rsun	K
------------------------	------------	-------	-------	-----
 V421 Peg               	F1V         	 1.5940	 1.5840	 7250
 V421 Peg               	F2V         	 1.3560	 1.3280	 6980
 V342 And B             	            	 1.2700	 1.2100	 6395
 V342 And B             	            	 1.2800	 1.2500	 6200
 DV Psc                 	K4V         	 0.6770	 0.6850	 4450
 DV Psc                 	M1V         	 0.4750	 0.5140	 3614
 MU Cas                 	B5V         	 4.6570	 4.1920	14750
 MU Cas                 	B5V         	 4.5750	 3.6710	15100
 GSC 4019 3345          	A4V         	 1.9200	 1.7600	 8600
 GSC 4019 3345          	A4V         	 1.9200	 1.7600	 8600
 NGC 104 WSB V69        	G           	 0.8760	 1.3160	 5945
 NGC 104 WSB V69        	G           	 0.8590	 1.1630	 5959
 YZ Cas                 	A2m         	 2.2630	 2.5250	 9520
 YZ Cas                 	F2V         	 1.3250	 1.3310	 6880
 NGC188 KR V12          	G           	 1.1020	 1.4250	 5900
 NGC188 KR V12          	G           	 1.0800	 1.3740	 5875
 V364 Cas               	A7V         	 1.6840	 1.9700	 7816
 V364 Cas               	A7V         	 1.5590	 2.3290	 7780
 CD-80 28               	K2          	 1.4150	 2.0200	 6156
 CD-80 28               	K2          	 1.4670	 5.2700	 4889
 zet Phe                	B6V         	 3.9220	 2.8530	14550
 zet Phe                	B8V         	 2.5450	 1.8540	11910
 AI Phe                 	F7V         	 1.1970	 1.8350	 6310
 AI Phe                 	K0IV        	 1.2470	 2.9120	 5010
 CO And                 	F8V         	 1.2890	 1.7270	 6140
 CO And                 	F8V         	 1.2640	 1.6940	 6170
 V459 Cas               	A1V         	 2.0150	 2.0100	 9140
 V459 Cas               	A1V         	 1.9620	 1.9660	 9100
 2MASS J01132817-3821024	M1V         	 0.6130	 0.5960	 3750
 2MASS J01132817-3821024	M3V         	 0.4450	 0.4450	 3085
 UV Psc                 	G5V         	 0.9830	 1.1170	 5780
 UV Psc                 	K3V         	 0.7640	 0.8350	 4750
 2MASS J01542930+0053266	M0V         	 0.5150	 0.6010	 3800
 2MASS J01542930+0053266	M3V         	 0.5480	 0.5740	 3600
