pl_name,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmassprov,discoverymethod
"Kepler-418 b",349.61124770,,,13.45000000,1.79000000,-1.79000000,"Mass","Transit"
"OGLE-2017-BLG-0364L b",75.80000000,54.50000000,-42.90000000,10.30000000,,,"Mass","Microlensing"
"HR 8799 b",2000.00000000,1000.00000000,-600.00000000,13.00000000,1.00000000,-1.00000000,"Mass","Imaging"
"CoRoT-17 b",772.29000000,95.34000000,-95.34000000,11.43000000,0.78000000,-0.78000000,"Mass","Transit"
"OGLE-2017-BLG-0373L b",127.00000000,202.00000000,-82.00000000,14.00000000,,,"Mass","Microlensing"
"CoRoT-7 d",17.14200000,2.55200000,-2.55200000,4.31000000,,,"Mass","Radial Velocity"
"KMT-2021-BLG-1547L b",467.20775829,206.58846455,-244.72787339,13.60000000,,,"Mass","Microlensing"
"TOI-4377 b",304.16178550,28.28672822,-27.65107141,15.10970598,0.90792744,-0.90792744,"Mass","Transit"
"TOI-858 B b",349.61124770,25.42627256,-22.24798849,14.06727078,0.43715025,-0.43715025,"Mass","Transit"
"TOI-1296 b",95.30000000,4.70000000,-4.60000000,14.11645916,0.28454324,-0.26287755,"Mass","Transit"
"HD 24040 b",1589.14203500,114.41822652,-82.63538582,12.90000000,,,"Mass","Radial Velocity"
"Kepler-83 b",2.94000000,0.88000000,-0.62000000,2.83000000,0.41000000,-0.41000000,"Mass","Transit"
"TOI-3807 b",330.54154328,47.67426105,-44.49597698,18.49481816,,,"Mass","Transit"
"UKIRT-2017-BLG-001L b",407.00000000,120.00000000,-140.00000000,13.70000000,,,"Mass","Microlensing"
"HD 191939 c",8.00000000,1.00000000,-1.00000000,3.19500000,0.07500000,-0.07500000,"Mass","Transit"
"WASP-105 b",572.09400000,31.78300000,-31.78300000,10.76064000,0.33627000,-0.33627000,"Mass","Transit"
"Kepler-58 b",35.50000000,,,2.78000000,,,"Mass","Transit"
"TOI-1759 b",10.80000000,1.50000000,-1.50000000,3.14000000,0.10000000,-0.10000000,"Mass","Transit"
"HIP 70849 b",1430.22783150,127.13136280,-95.34852210,12.90000000,,,"Mass","Radial Velocity"
"KOI-142 b",9.50000000,1.10000000,-1.10000000,3.43800000,0.07500000,-0.07500000,"Mass","Transit"
"HATS-62 b",56.89157000,,,11.82549500,0.28022500,-0.28022500,"Mass","Transit"
"TOI-1410.01",12.50000000,1.10000000,-1.00000000,3.10083009,0.22026793,-0.16123620,"Mass","Transit"
"TOI-5110 b",921.70238030,41.31769291,-41.31769291,11.98240037,0.60528496,-0.58286700,"Mass","Transit"
"TOI-791 c",18.60000000,2.24000000,-2.09000000,12.94637271,0.44835923,-0.44835923,"Mass","Transit"
"Qatar-7 b",597.52040000,79.45750000,-79.45750000,19.05530000,0.33627000,-0.33627000,"Mass","Transit"
"TOI-5624 e",8.90000000,2.90000000,-3.00000000,3.24700000,0.04200000,-0.04300000,"Mass","Transit"
"TOI-6695 b",66.74396547,3.17828407,-3.17828407,9.52763359,0.22417961,-0.22417961,"Mass","Transit"
"HD 207496 b",6.10000000,1.60000000,-1.60000000,2.25000000,0.12000000,-0.10000000,"Mass","Transit"
"Kepler-276 d",16.30000000,5.00000000,-4.30000000,2.80000000,1.23000000,-0.27000000,"Mass","Transit"
"WASP-37 b",572.07000000,54.02900000,-54.02900000,13.00200000,0.78500000,-0.67300000,"Mass","Transit"
"Kepler-122 f",36.00000000,19.40000000,-16.20000000,1.75000000,0.60000000,-0.16000000,"Mass","Transit Timing Variations"
"OGLE-2016-BLG-0263L b",1300.00000000,2100.00000000,-790.00000000,13.00000000,,,"Mass","Microlensing"
"TOI-1776 b",1.40000000,1.10000000,-1.00000000,1.21612741,0.08984660,-0.07715788,"Mass","Transit"
"HAT-P-40 b",152.55840000,41.31790000,-41.31790000,17.03768000,1.90553000,-1.90553000,"Mass","Transit"
"K2-19 d",6.20000000,,,1.04400000,0.06400000,-0.06400000,"Mass","Transit"
"HD 169830 c",2437.42605328,615.63362436,-875.61726129,12.60000000,,,"Mass","Radial Velocity"
"ZTF J1230-2655 b",7024.00779470,,,13.78704626,0.00560449,-0.00560449,"Mass","Transit"
"TOI-2525 b",26.69758619,1.58914204,-1.58914204,8.67575106,0.11208981,-0.11208981,"Mass","Transit"
"Kepler-57 c",6.86000000,1.52000000,-1.43000000,2.19600000,0.06700000,-0.06500000,"Mass","Transit"
"KOI-134 b",346.43296363,38.13940884,-25.42627256,12.03844527,0.19055267,-0.19055267,"Mass","Transit"
"KMT-2023-BLG-2209L b",254.26272560,120.77479466,-120.77479466,13.90000000,,,"Mass","Microlensing"
"HD 150706 b",772.32302901,152.55763536,-120.77479466,13.30000000,,,"Mass","Radial Velocity"
"HR 8799 e",3178.30000000,2224.81000000,-1271.32000000,13.11453000,1.45717000,-1.23299000,"Mass","Imaging"
"HIP 10090 c",270.15414595,9.53485221,-38.13940884,13.90000000,,,"Mass","Radial Velocity"
"KMT-2021-BLG-0748L b",143.02278315,127.13136280,-79.45710175,14.30000000,,,"Mass","Microlensing"
"Kepler-24 e",26.21180000,,,2.78000000,0.64000000,-0.64000000,"Mass","Transit"
"Kepler-338 b",30.60000000,24.20000000,-21.10000000,2.44000000,0.13000000,-0.13000000,"Mass","Transit"
"HD 188641 b",9333.03117155,1901.88518749,-1179.77904678,11.90000000,,,"Mass","Radial Velocity"
"K2-39 b",28.60470000,15.89150000,-15.89150000,6.27704000,1.68135000,-1.68135000,"Mass","Transit"
"OGLE-2019-BLG-0960L b",2.50000000,0.60000000,-0.60000000,1.39000000,,,"Mass","Microlensing"
"GSC 06214-00210 b",5000.00000000,300.00000000,-300.00000000,20.17620000,5.60450000,-5.60450000,"Mass","Imaging"
"HD 89839 b",1748.05623850,200.23189641,-152.55763536,12.80000000,,,"Mass","Radial Velocity"
"Kepler-106 e",11.17000000,5.80000000,-5.80000000,2.56000000,0.33000000,-0.33000000,"Mass","Transit"
"HATS-72 b",39.85588200,1.23953700,-1.23953700,8.09738160,0.03586880,-0.03586880,"Mass","Transit"
"WASP-46 b",607.05530000,41.31790000,-41.31790000,13.15936600,0.41473300,-0.41473300,"Mass","Transit"
"Kepler-27 c",4385.87000000,,,4.90000000,,,"Mass","Transit"
"TOI-2141 b",20.10000000,1.60000000,-1.50000000,3.14700000,0.04300000,-0.04200000,"Mass","Transit"
"GJ 317 b",794.50000000,222.50000000,-127.10000000,13.30000000,,,"Mass","Radial Velocity"
"KOINTREAU-1 b",3368.98111420,794.57101750,-731.00533610,12.40000000,,,"Mass","Imaging"
"Kepler-350 b",16.90000000,5.60000000,-3.30000000,1.85000000,0.38000000,-0.38000000,"Mass","Transit"
"TOI-4562 b",732.00000000,152.00000000,-149.00000000,12.53000000,0.15000000,-0.15000000,"Mass","Transit"
"CoRoT-35 b",349.61124770,117.59651059,-117.59651059,18.83108758,1.23298788,-1.23298788,"Mass","Transit"
"Kepler-51 d",7.60000000,1.10000000,-1.10000000,9.70000000,0.50000000,-0.50000000,"Mass","Transit"
"HAT-P-27 b",197.05000000,9.53000000,-9.53000000,11.43000000,0.78000000,-0.67000000,"Mass","Transit"
"GJ 3090 b",4.52000000,0.47000000,-0.47000000,2.18000000,0.06000000,-0.06000000,"Mass","Transit"
"Kepler-117 c",584.78000000,57.21000000,-57.21000000,12.34100000,0.39200000,-0.39200000,"Mass","Transit"
"K2-97 b",174.48779544,18.75187601,-14.62010672,13.45077684,1.23298788,-1.23298788,"Mass","Transit"
"TOI-199 c",88.99195396,6.35656814,-3.17828407,11.40000000,,,"Mass","Transit Timing Variations"
"OGLE-2016-BLG-1800L b",823.17557413,464.02947422,-464.02947422,13.20000000,,,"Mass","Microlensing"
"GJ 3929 b",1.75000000,0.44000000,-0.45000000,1.09000000,0.04000000,-0.04000000,"Mass","Transit"
"TOI-283 b",6.54000000,2.04000000,-2.04000000,2.34000000,0.09000000,-0.09000000,"Mass","Transit"
"HIP 8541 b",2451.72833160,602.28483126,-32.73632592,12.60000000,,,"Mass","Radial Velocity"
"HIP 41378 g",6.81000000,1.14000000,-0.98000000,2.50000000,,,"Mass","Radial Velocity"
"HD 3167 c",11.41000000,0.85800000,-0.82600000,2.98300000,0.08300000,-0.06800000,"Mass","Transit"
"HAT-P-49 b",699.22600000,187.51970000,-187.51970000,17.82231000,2.01762000,-2.01762000,"Mass","Transit"
"TOI-6019 b",149.00000000,15.00000000,-15.00000000,12.30000000,0.30000000,-0.30000000,"Mass","Transit"
"MOA-2007-BLG-400L b",540.30829190,82.63538582,-82.63538582,13.50000000,,,"Mass","Microlensing"
"OGLE-2019-BLG-1492L b",37.10000000,25.10000000,-19.50000000,6.79000000,,,"Mass","Microlensing"
"Kepler-19 b",6.10000000,2.80000000,-2.70000000,2.20900000,0.04800000,-0.04800000,"Mass","Transit"
"HD 72659 c",6165.87109580,254.26272560,-158.91420350,12.10000000,,,"Mass","Radial Velocity"
"HD 110067 c",6.30000000,,,2.38800000,0.03600000,-0.03600000,"Mass","Transit"
"KMT-2016-BLG-0212L b",5700.00000000,6000.00000000,-3500.00000000,12.20000000,,,"Mass","Microlensing"
"Qatar-2 b",792.63500000,17.16200000,-17.16200000,14.05600000,0.14600000,-0.14600000,"Mass","Transit"
"TOI-286 b",4.53000000,0.78000000,-0.78000000,1.42000000,0.10000000,-0.10000000,"Mass","Transit"
"Kepler-278 c",34.90000000,9.90000000,-21.00000000,3.26800000,0.06700000,-0.06700000,"Mass","Transit"
"V830 Tau b",222.48100000,38.13960000,-38.13960000,14.00000000,,,"Mass","Radial Velocity"
"HD 196050 b",1493.79351290,254.26272560,-254.26272560,12.90000000,,,"Mass","Radial Velocity"
"TOI-1279 b",10.60000000,2.50000000,-2.50000000,2.66146528,0.13795921,-0.10646515,"Mass","Transit"
"Kepler-82 c",13.90000000,1.30000000,-1.20000000,5.34000000,0.32000000,-0.13000000,"Mass","Transit"
"TOI-1807 b",2.44000000,0.60000000,-0.57000000,1.49681583,0.08089145,-0.06779467,"Mass","Transit"
"Kepler-26 b",5.12000000,0.65000000,-0.61000000,2.78000000,0.11000000,-0.11000000,"Mass","Transit"
"GJ 581 c",6.81000000,0.21000000,-1.16000000,2.50000000,,,"Mass","Radial Velocity"
"Kepler-51 e",5.40000000,1.50000000,-1.50000000,2.18000000,,,"Mass","Transit Timing Variations"
"TOI-5592 b",285.72773789,22.24798849,-21.93016008,17.14974047,3.58687382,-1.79343691,"Mass","Transit"
"KOI-1831 d",2.23000000,0.50000000,-0.84000000,1.13000000,0.05000000,-0.05000000,"Mass","Transit"
"Kepler-279 c",49.40000000,7.20000000,-5.90000000,4.30000000,1.72000000,-0.41000000,"Mass","Transit"
"TOI-1444 b",3.58000000,0.76000000,-0.75000000,1.41792246,0.04673360,-0.04107268,"Mass","Transit"
"HATS-8 b",43.86054000,6.03877000,-6.03877000,9.78545700,1.37870700,-0.84067500,"Mass","Transit"
"KMT-2019-BLG-1367L b",4.08000000,2.58000000,-2.08000000,1.85000000,,,"Mass","Microlensing"
"KOI-1783.01",71.00000000,11.20000000,-9.20000000,8.86000000,0.25000000,-0.24000000,"Mass","Transit"
"KELT-16 b",874.03250000,50.85280000,-47.67450000,15.86073500,0.94155600,-0.75100300,"Mass","Transit"
"CoRoT-12 b",291.43800000,22.24700000,-20.65800000,16.14000000,1.46000000,-1.46000000,"Mass","Transit"
"SWEEPS-4 b",1207.70000000,,,9.07900000,1.12100000,-1.12100000,"Mass","Transit"
"GJ 143 b",22.70000000,2.20000000,-1.90000000,2.61000000,0.17000000,-0.16000000,"Mass","Transit"
"K2-10 b",25.20000000,8.40000000,-8.40000000,3.77300000,0.08800000,-0.04800000,"Mass","Transit"
"Kepler-19 d",22.50000000,1.20000000,-5.60000000,5.06000000,,,"Mass","Radial Velocity"
"KMT-2016-BLG-2142L b",4923.00000000,7943.00000000,-2730.00000000,12.20000000,,,"Mass","Microlensing"
"CoRoT-7 b",4.07660518,1.01981794,-1.01981794,1.68135000,0.11209000,-0.11209000,"Mass","Transit"
"TOI-2969 b",368.68095212,12.71313628,-12.71313628,12.32987877,0.89671846,-0.89671846,"Mass","Transit"
"Kepler-447 b",435.41000000,152.55000000,-146.20000000,18.49000000,6.61000000,-6.28000000,"Mass","Transit"
"HD 120084 b",2034.10180480,921.70238030,-603.87397330,12.70000000,,,"Mass","Radial Velocity"
"GJ 680 b",7977.49301570,1957.18733031,-3543.46890964,12.00000000,,,"Mass","Radial Velocity"
"TOI-1422 b",9.50000000,2.00000000,-1.90000000,3.83000000,0.11000000,-0.11000000,"Mass","Transit"
"HATS-59 b",256.17098000,21.93027000,-21.93027000,12.62133400,0.86309300,-0.86309300,"Mass","Transit"
"HD 73267 c",1630.77755632,289.85950718,-89.62761077,12.80000000,,,"Mass","Radial Velocity"
"HD 152843 c",9.67000000,1.97000000,-1.92000000,5.94000000,0.18000000,-0.16000000,"Mass","Transit"
"HR 8799 c",3000.00000000,1000.00000000,-1000.00000000,13.00000000,1.00000000,0.00000000,"Mass","Imaging"
"TOI-4342 b",7.30000000,1.30000000,-1.30000000,2.32900000,0.08600000,-0.08500000,"Mass","Transit"
"KOI-12 b",349.61300000,1112.40500000,-254.26400000,13.78707000,0.67254000,-0.56045000,"Mass","Transit"
"NGTS-16 b",211.99154747,49.89905990,-40.99986450,14.57167491,1.45716749,-1.34507768,"Mass","Transit"
"HD 113337 c",6299.67685515,772.32302901,-818.40814802,12.10000000,,,"Mass","Radial Velocity"
"K2-30 b",184.02357000,8.89924000,-8.58141000,11.64615100,0.56045000,-0.57165900,"Mass","Transit"
"Gaia22dkvL b",187.83658854,48.30991786,-16.52707716,14.10000000,,,"Mass","Microlensing"
"KMT-2024-BLG-0404L c",17.30000000,25.50000000,-8.80000000,4.33000000,,,"Mass","Microlensing"
"Kepler-139 e",378.00000000,48.00000000,-39.00000000,13.70000000,,,"Mass","Radial Velocity"
"HD 29985 b",1739.47487151,617.85842321,-367.72746690,12.80000000,,,"Mass","Radial Velocity"
"HR 858 c",3.80000000,,,1.97900000,0.05400000,-0.05100000,"Mass","Transit"
"HD 22946 d",26.57000000,,,2.60700000,0.06000000,-0.06000000,"Mass","Transit"
"HD 11112 b",2598.56505563,199.27841119,-1017.05090240,12.60000000,,,"Mass","Radial Velocity"
"AF Lep b",1147.36054927,155.73591943,-152.55763536,13.00000000,,,"Mass","Imaging"
"TOI-125 d",13.60000000,1.20000000,-1.20000000,2.93000000,0.17000000,-0.17000000,"Mass","Transit"
"HATS-6 b",101.38777000,22.24810000,-22.24810000,11.18658200,0.21297100,-0.21297100,"Mass","Transit"
"HD 100546 b",2701.54145950,1271.31362800,-1271.31362800,77.34210000,30.26430000,-32.50610000,"Mass","Imaging"
"HD 100777 b",390.92894061,15.89142035,-15.89142035,13.70000000,,,"Mass","Radial Velocity"
"Kepler-553 b",116.00736855,,,4.74139884,0.17934369,-0.12329879,"Mass","Transit"
"HD 217786 b",4402.55909376,402.68859167,-416.67304158,12.30000000,,,"Mass","Radial Velocity"
"OGLE-TR-132 b",375.02000000,44.49000000,-41.32000000,13.45000000,1.68000000,-1.23000000,"Mass","Transit"
"HATS-66 b",1694.03390000,216.12440000,-216.12440000,15.81589900,0.94155600,-0.94155600,"Mass","Transit"
"TOI-7041 b",114.41822652,50.85254512,-50.85254512,11.43316031,0.33626942,-0.33626942,"Mass","Transit"
"OGLE-2014-BLG-0676L b",1169.60853776,219.30160083,-457.67290608,13.00000000,,,"Mass","Microlensing"
"Kepler-414 c",29.90000000,12.40000000,-10.50000000,3.01000000,0.54000000,-0.25000000,"Mass","Transit Timing Variations"
"Qatar-5 b",1373.02560000,57.20940000,-57.20940000,12.40836300,0.71737600,-0.71737600,"Mass","Transit"
"K2-132 b",155.73670000,19.06980000,-19.06980000,14.57170000,0.78463000,-0.78463000,"Mass","Transit"
"WASP-76 b",284.13859586,4.44959770,-4.13176929,20.78145022,0.86309151,-0.85188253,"Mass","Transit"
"KELT-15 b",416.35730000,136.66690000,-136.66690000,19.50366000,2.24180000,-2.24180000,"Mass","Transit"
"K2-290 c",246.00042000,14.93801000,-14.93801000,11.27625400,0.56045000,-0.56045000,"Mass","Transit"
"HATS-41 b",3082.95100000,508.52800000,-508.52800000,14.90797000,3.25061000,-2.24180000,"Mass","Transit"
"HD 284149 AB b",8352.53053596,931.23723251,-931.23723251,12.00000000,,,"Mass","Imaging"
"HATS-77 b",436.69623122,31.78284070,-23.51930212,13.05846252,0.23538859,-0.23538859,"Mass","Transit"
"WASP-142 b",266.97720000,28.60470000,-28.60470000,17.14977000,0.89672000,-0.89672000,"Mass","Transit"
"HD 29021 b",1420.69297929,212.94503269,-206.58846455,12.90000000,,,"Mass","Radial Velocity"
"HD 168443 c",5500.33841154,810.46243785,-287.95253674,12.20000000,,,"Mass","Radial Velocity"
"WASP-53 b",677.61356000,29.24036000,-29.87602000,12.03846600,0.41473300,-0.41473300,"Mass","Transit"
"KOI-94 b",10.50000000,4.60000000,-4.60000000,1.71000000,0.16000000,-0.16000000,"Mass","Transit"
"OGLE-2015-BLG-1649L b",807.00000000,470.00000000,-442.00000000,13.20000000,,,"Mass","Microlensing"
"TOI-220 b",13.80000000,1.00000000,-1.00000000,3.03000000,0.15000000,-0.15000000,"Mass","Transit"
"WASP-8 b",807.28820000,104.88390000,-104.88390000,12.66617000,0.56045000,-0.56045000,"Mass","Transit"
"HD 106252 b",3178.28407000,247.90615746,-232.01473711,12.50000000,,,"Mass","Radial Velocity"
"TOI-4087 b",232.01473711,44.49597698,-44.49597698,13.04725353,0.28022452,-0.26901554,"Mass","Transit"
"OGLE-2015-BLG-1771L b",138.00000000,214.00000000,-80.00000000,14.30000000,,,"Mass","Microlensing"
"HAT-P-66 b",248.86089000,18.11631000,-18.11631000,17.82231000,1.79344000,-1.12090000,"Mass","Transit"
"HD 20329 b",7.42000000,1.09000000,-1.09000000,1.72000000,0.07000000,-0.07000000,"Mass","Transit"
"GJ 876 e",14.60000000,1.70000000,-1.70000000,3.92000000,,,"Mass","Radial Velocity"
"HAT-P-29 b",279.69040000,79.45750000,-79.45750000,13.11453000,1.45717000,-1.45717000,"Mass","Transit"
"Kepler-434 b",908.96000000,111.24000000,-111.24000000,12.67000000,2.91000000,-2.02000000,"Mass","Transit"
"HD 128717 b",6293.00245860,158.91420350,-158.91420350,12.10000000,,,"Mass","Astrometry"
"HAT-P-46 b",156.68400000,26.06100000,-16.52600000,14.39200000,3.03800000,-1.49100000,"Mass","Transit"
"TOI-1244 b",6.60000000,3.80000000,-3.70000000,2.46700000,0.24000000,-0.21100000,"Mass","Transit"
"V1298 Tau e",15.30000000,4.20000000,-4.20000000,10.17000000,0.75000000,-0.75000000,"Mass","Transit"
"OGLE-2012-BLG-0358L b",588.00000000,60.00000000,-60.00000000,13.40000000,,,"Mass","Microlensing"
"TOI-4214 b",165.27077164,16.84490557,-17.16273398,10.68215861,0.35868738,-0.33626942,"Mass","Transit"
"Kepler-391 b",1100.00000000,,,2.50000000,0.29000000,-0.29000000,"Mass","Transit"
"TOI-3877 b",99.79811980,21.93016008,-21.29450327,11.67975789,0.49319515,-0.48198617,"Mass","Transit"
"Kepler-409 b",6.00000000,,,1.19900000,0.04300000,-0.04300000,"Mass","Transit"
"HIP 41378 b",6.90000000,0.50000000,-0.50000000,2.64000000,0.02200000,-0.02400000,"Mass","Transit"
"pi Men c",3.63000000,0.38000000,-0.38000000,2.01890000,0.04650000,-0.04480000,"Mass","Transit"
"HATS-43 b",82.95363000,17.16282000,-17.16282000,13.22662000,0.56045000,-0.56045000,"Mass","Transit"
"TOI-1437 b",9.60000000,3.90000000,-3.30000000,2.24000000,0.23000000,-0.22000000,"Mass","Transit"
